Expedition,Site,Hole,Core,Type,Section,A/W,Offset (mm),CSF-A (m),CCSF-390-U1557-AB-20220529-Shipboard2 (m),Test No.,TextID,Voltage (kV),Tube Current (mA),Live Time (s),Real Time (s),Down-Core Slit (mm),Cross-Core Slit (mm),Filter,Total Counts Per Second,Mg-Ka Area,Al-Ka Area,Si-Ka Area,P -Ka Area,S -Ka Area,Cl-Ka Area,Ar-Ka Area,K -Ka Area,Ca-Ka Area,Ti-Ka Area,Cr-Ka Area,Mn-Ka Area,Fe-Ka Area,Rh-La-Coh Area,Instrument,Scan Number,Date of Measure,Time of Measure,Uploaded By,Date Uploaded,Comment
390C,U1557,B,17,X,5,A,1350.0,149.85,154.31,44763792,SHLF10860361,10,0.16,6,8,10,12,No-Filter,143302,106,9174,94744,881,811,19918,-222,62643,28917,21077,208,27544,214261,31140,XRF2,1,2021-10-18,09:27:39,HERTZBERG,2021-10-26 21:37:04,
390C,U1557,B,17,X,5,A,1400.0,149.9,154.36,44763792,SHLF10860361,10,0.16,6,7,10,12,No-Filter,121376,67,6249,71202,820,710,17042,3096,50030,23702,17657,879,24239,176851,29338,XRF2,1,2021-10-18,09:27:57,HERTZBERG,2021-10-26 21:37:04,
390C,U1557,B,17,X,5,A,1450.0,149.95,154.41,44763792,SHLF10860361,10,0.16,6,7,10,12,No-Filter,109178,23,4533,57885,505,513,17338,4294,41616,21649,15037,629,21129,154905,28677,XRF2,1,2021-10-18,09:28:15,HERTZBERG,2021-10-26 21:37:04,
390C,U1557,B,17,X,5,A,150.0,148.65,153.11,44763792,SHLF10860361,10,0.16,6,8,10,12,No-Filter,156053,114,10398,106420,778,1062,25226,-1692,65010,29268,23720,386,23972,239285,33467,XRF2,1,2021-10-18,09:21:57,HERTZBERG,2021-10-26 21:37:04,
390C,U1557,B,17,X,5,A,230.0,148.73,153.19,44763792,SHLF10860361,10,0.16,6,8,10,12,No-Filter,152359,109,9194,97506,800,914,26742,-1305,61775,30414,21970,678,27172,229764,33102,XRF2,1,2021-10-18,09:22:15,HERTZBERG,2021-10-26 21:37:04,
390C,U1557,B,17,X,5,A,300.0,148.8,153.26000000000002,44763792,SHLF10860361,10,0.16,6,8,10,12,No-Filter,165587,166,11094,111460,829,1024,26790,-2444,68845,45168,24247,705,23115,247537,35018,XRF2,1,2021-10-18,09:22:33,HERTZBERG,2021-10-26 21:37:04,
390C,U1557,B,17,X,5,A,375.0,148.875,153.335,44763792,SHLF10860361,10,0.16,6,8,10,12,No-Filter,157933,76,10548,107600,908,1094,26398,-1667,66884,31736,23152,383,25403,239278,33886,XRF2,1,2021-10-18,09:22:51,HERTZBERG,2021-10-26 21:37:04,
390C,U1557,B,17,X,5,A,450.0,148.95,153.41,44763792,SHLF10860361,10,0.16,6,8,10,12,No-Filter,164358,204,11505,115402,984,918,24838,-2152,68705,34846,23901,498,28955,250054,33945,XRF2,1,2021-10-18,09:23:09,HERTZBERG,2021-10-26 21:37:04,
390C,U1557,B,17,X,5,A,50.0,148.55,153.01000000000002,44763792,SHLF10860361,10,0.16,6,8,10,12,No-Filter,162319,179,11395,113515,927,923,23977,-1575,69340,30798,24690,633,25228,249025,33776,XRF2,1,2021-10-18,09:21:20,HERTZBERG,2021-10-26 21:37:04,
390C,U1557,B,17,X,5,A,500.0,149.0,153.46,44763792,SHLF10860361,10,0.16,6,8,10,12,No-Filter,166239,250,12019,119067,1133,959,25041,-2447,70923,35792,24043,579,23714,251967,34747,XRF2,1,2021-10-18,09:23:27,HERTZBERG,2021-10-26 21:37:04,
390C,U1557,B,17,X,5,A,550.0,149.05,153.51000000000002,44763792,SHLF10860361,10,0.16,6,8,10,12,No-Filter,164779,165,11645,115596,1031,799,24681,-2361,71094,34192,24422,629,32168,246083,34468,XRF2,1,2021-10-18,09:23:46,HERTZBERG,2021-10-26 21:37:04,
390C,U1557,B,17,X,5,A,600.0,149.1,153.56,44763792,SHLF10860361,10,0.16,6,8,10,12,No-Filter,162461,168,11803,115175,1324,777,22347,-1808,69601,34515,23057,650,33859,241125,33943,XRF2,1,2021-10-18,09:24:04,HERTZBERG,2021-10-26 21:37:04,
390C,U1557,B,17,X,5,A,750.0,149.25,153.71,44763792,SHLF10860361,10,0.16,6,8,10,12,No-Filter,151526,101,10065,101915,882,764,22915,-924,64809,30041,21957,802,31452,223175,32945,XRF2,1,2021-10-18,09:24:22,HERTZBERG,2021-10-26 21:37:04,
390C,U1557,B,17,X,5,A,800.0,149.3,153.76000000000002,44763792,SHLF10860361,10,0.16,6,8,10,12,No-Filter,161092,200,11739,114383,1298,748,20860,-2022,71536,35016,23555,331,32728,240332,33618,XRF2,1,2021-10-18,09:24:41,HERTZBERG,2021-10-26 21:37:04,
390C,U1557,B,17,X,5,A,850.0,149.35,153.81,44763792,SHLF10860361,10,0.16,6,8,10,12,No-Filter,155138,150,10159,104560,1100,1019,23110,-1729,67413,33276,22504,337,28982,228787,34017,XRF2,1,2021-10-18,09:24:59,HERTZBERG,2021-10-26 21:37:04,
390C,U1557,B,17,X,5,A,890.0,149.39,153.85,44763792,SHLF10860361,10,0.16,6,8,10,12,No-Filter,160174,94,11516,114229,1256,759,20749,-1881,71856,34862,23172,398,30363,240289,32989,XRF2,1,2021-10-18,09:25:17,HERTZBERG,2021-10-26 21:37:04,
390C,U1557,B,17,X,5,A,950.0,149.45,153.91,44763792,SHLF10860361,10,0.16,6,8,10,12,No-Filter,163727,135,11911,118104,1407,950,21687,-2092,72919,34356,24385,798,30142,247372,33234,XRF2,1,2021-10-18,09:25:35,HERTZBERG,2021-10-26 21:37:04,
390C,U1557,B,17,X,5,A,980.0,149.48,153.94,44763792,SHLF10860361,10,0.16,6,8,10,12,No-Filter,153049,63,9433,100226,957,917,25400,-1581,65492,31891,22228,456,30339,228636,33177,XRF2,1,2021-10-18,09:25:52,HERTZBERG,2021-10-26 21:37:04,
390C,U1557,B,17,X,6,A,200.0,150.20999999999998,154.67,44763802,SHLF10860391,10,0.16,6,8,10,12,No-Filter,153122,146,11006,113831,1078,802,22347,-1615,72910,32430,22682,667,6283,234436,32463,XRF2,1,2021-10-18,08:55:50,HERTZBERG,2021-10-26 21:37:07,
390C,U1557,B,17,X,6,A,250.0,150.26,154.72,44763802,SHLF10860391,10,0.16,6,8,10,12,No-Filter,145717,139,10096,104988,1072,864,20816,-985,69177,34437,21130,971,5041,219607,32310,XRF2,1,2021-10-18,08:56:08,HERTZBERG,2021-10-26 21:37:07,
390C,U1557,B,17,X,6,A,310.0,150.32,154.78,44763802,SHLF10860391,10,0.16,6,8,10,12,No-Filter,164047,141,10359,106033,1068,1028,24585,-1970,70445,108350,21842,820,5381,215430,33397,XRF2,1,2021-10-18,08:56:26,HERTZBERG,2021-10-26 21:37:07,
390C,U1557,B,17,X,6,A,395.0,150.405,154.865,44763802,SHLF10860391,10,0.16,6,10,10,12,No-Filter,312496,9,3234,39721,810,753,31609,-1887,22733,1122841,4591,679,2738,45624,40459,XRF2,1,2021-10-18,08:56:44,HERTZBERG,2021-10-26 21:37:07,
390C,U1557,B,17,X,6,A,450.0,150.45999999999998,154.92,44763802,SHLF10860391,10,0.16,6,10,10,12,No-Filter,323789,-33,2224,31074,778,715,34541,-1780,16882,1203412,3274,454,2231,32739,40867,XRF2,1,2021-10-18,08:57:06,HERTZBERG,2021-10-26 21:37:07,
390C,U1557,B,17,X,6,A,500.0,150.51,154.97,44763802,SHLF10860391,10,0.16,6,10,10,12,No-Filter,324483,-58,2179,29491,691,733,33176,-1577,15213,1218599,3275,738,2136,29475,40362,XRF2,1,2021-10-18,08:57:27,HERTZBERG,2021-10-26 21:37:07,
390C,U1557,B,17,X,6,A,550.0,150.56,155.02,44763802,SHLF10860391,10,0.16,6,10,10,12,No-Filter,340630,-69,2582,33305,754,613,31538,-2421,15599,1286492,3156,490,2088,29858,41670,XRF2,1,2021-10-18,08:57:49,HERTZBERG,2021-10-26 21:37:07,
390C,U1557,B,17,X,6,A,600.0,150.60999999999999,155.07,44763802,SHLF10860391,10,0.16,6,10,10,12,No-Filter,329924,-28,2377,30371,849,851,31731,-1645,14709,1246123,3016,329,2020,28593,41172,XRF2,1,2021-10-18,08:58:11,HERTZBERG,2021-10-26 21:37:07,
390C,U1557,B,17,X,6,A,645.0,150.655,155.115,44763802,SHLF10860391,10,0.16,6,10,10,12,No-Filter,328262,-50,2026,28210,695,629,30500,-1719,13487,1245990,3012,583,2029,27898,41049,XRF2,1,2021-10-18,08:58:33,HERTZBERG,2021-10-26 21:37:07,
390C,U1557,B,17,X,6,A,700.0,150.70999999999998,155.17,44763802,SHLF10860391,10,0.16,6,10,10,12,No-Filter,318157,-45,2012,27574,827,912,29926,-974,12720,1208337,2898,551,1944,27479,39960,XRF2,1,2021-10-18,08:58:55,HERTZBERG,2021-10-26 21:37:07,
390C,U1557,B,17,X,6,A,745.0,150.755,155.215,44763802,SHLF10860391,10,0.16,6,9,10,12,No-Filter,302136,-29,1787,25608,675,628,29127,-43,12548,1145115,2548,428,2051,25631,38436,XRF2,1,2021-10-18,08:59:16,HERTZBERG,2021-10-26 21:37:07,
390C,U1557,B,17,X,6,A,815.0,150.825,155.285,44763802,SHLF10860391,10,0.16,6,9,10,12,No-Filter,306294,-24,2050,29490,550,611,26601,-416,14860,1151607,3061,506,2477,30318,39296,XRF2,1,2021-10-18,08:59:38,HERTZBERG,2021-10-26 21:37:07,
390C,U1557,B,17,X,CC,A,150.0,151.02,155.48000000000002,44763812,SHLF10860421,10,0.16,6,10,10,12,No-Filter,327285,-49,1693,23910,733,1560,52859,-3006,15491,1183355,3663,76,2639,35975,44411,XRF2,1,2021-10-18,08:34:36,HERTZBERG,2021-10-26 21:37:08,
390C,U1557,B,17,X,CC,A,250.0,151.12,155.58,44763812,SHLF10860421,10,0.16,6,9,10,12,No-Filter,295623,-23,1995,28404,646,870,35342,-1478,15524,1078886,3277,270,2488,33424,41158,XRF2,1,2021-10-18,08:34:58,HERTZBERG,2021-10-26 21:37:08,
390C,U1557,B,17,X,CC,A,43.0,150.913,155.37300000000002,44763812,SHLF10860421,10,0.16,6,9,10,12,No-Filter,286861,-41,1479,22974,422,1355,50974,-2116,13792,1023448,3181,410,2458,30262,42663,XRF2,1,2021-10-18,08:33:54,HERTZBERG,2021-10-26 21:37:08,
390C,U1557,B,17,X,CC,A,98.0,150.96800000000002,155.42800000000003,44763812,SHLF10860421,10,0.16,6,9,10,12,No-Filter,260857,2,1174,19496,500,1192,38166,618,11827,947124,2660,391,2330,28093,37980,XRF2,1,2021-10-18,08:34:15,HERTZBERG,2021-10-26 21:37:08,
390C,U1557,B,18,X,1,A,1000.0,153.1,157.56,44762412,SHLF10860561,10,0.16,6,9,10,12,No-Filter,290673,-79,1512,25245,527,1973,55757,-2744,18497,999823,4317,334,3390,44923,43805,XRF2,1,2021-10-07,17:36:06,HERTZBERG,2021-10-15 13:45:43,
390C,U1557,B,18,X,1,A,1050.0,153.15,157.61,44762412,SHLF10860561,10,0.16,6,9,10,12,No-Filter,293065,-75,1530,25577,489,1721,56536,-3085,18807,1007892,4616,482,3774,45040,43648,XRF2,1,2021-10-07,17:36:26,HERTZBERG,2021-10-15 13:45:43,
390C,U1557,B,18,X,1,A,1100.0,153.2,157.66,44762412,SHLF10860561,10,0.16,6,9,10,12,No-Filter,286169,-80,1438,24576,494,1708,55483,-2906,17493,983070,4337,326,3583,43545,43606,XRF2,1,2021-10-07,17:36:46,HERTZBERG,2021-10-15 13:45:43,
390C,U1557,B,18,X,1,A,1250.0,153.35,157.81,44762412,SHLF10860561,10,0.16,6,9,10,12,No-Filter,293473,-65,1466,24417,791,1864,55348,-2828,18849,1012825,4178,359,3022,45550,44282,XRF2,1,2021-10-07,17:37:08,HERTZBERG,2021-10-15 13:45:43,
390C,U1557,B,18,X,1,A,1300.0,153.4,157.86,44762412,SHLF10860561,10,0.16,6,9,10,12,No-Filter,295145,-7,1569,25053,699,2022,58708,-2968,19150,1009718,4340,357,3076,45934,45241,XRF2,1,2021-10-07,17:37:28,HERTZBERG,2021-10-15 13:45:43,
390C,U1557,B,18,X,1,A,1355.0,153.45499999999998,157.915,44762412,SHLF10860561,10,0.16,6,9,10,12,No-Filter,285542,-18,1718,27254,516,2175,59544,-3444,19358,963974,4625,384,3118,46598,44515,XRF2,1,2021-10-07,17:37:48,HERTZBERG,2021-10-15 13:45:43,
390C,U1557,B,18,X,1,A,1400.0,153.5,157.96,44762412,SHLF10860561,10,0.16,6,9,10,12,No-Filter,290975,-7,1531,24981,702,1903,54802,-3332,17839,1005232,4315,314,3291,43360,44357,XRF2,1,2021-10-07,17:38:09,HERTZBERG,2021-10-15 13:45:43,
390C,U1557,B,18,X,1,A,1450.0,153.54999999999998,158.01,44762412,SHLF10860561,10,0.16,6,9,10,12,No-Filter,280632,-76,963,19344,729,2143,63762,-3360,16723,947827,4240,322,3209,44144,45113,XRF2,1,2021-10-07,17:38:29,HERTZBERG,2021-10-15 13:45:43,
390C,U1557,B,18,X,1,A,150.0,152.25,156.71,44762412,SHLF10860561,10,0.16,6,9,10,12,No-Filter,282883,-39,1323,23495,531,1575,50324,-1367,17137,993203,3900,475,2621,39324,41728,XRF2,1,2021-10-07,17:31:25,HERTZBERG,2021-10-15 13:45:43,
390C,U1557,B,18,X,1,A,190.0,152.29,156.75,44762412,SHLF10860561,10,0.16,6,10,10,12,No-Filter,323004,-49,2056,30704,836,1773,54496,-4058,19585,1134130,4295,406,2911,43789,45092,XRF2,1,2021-10-07,17:31:45,HERTZBERG,2021-10-15 13:45:43,
390C,U1557,B,18,X,1,A,250.0,152.35,156.81,44762412,SHLF10860561,10,0.16,6,9,10,12,No-Filter,305792,-12,1341,24052,803,1900,54777,-3146,18151,1069475,4071,367,2708,42988,45453,XRF2,1,2021-10-07,17:32:05,HERTZBERG,2021-10-15 13:45:43,
390C,U1557,B,18,X,1,A,390.0,152.48999999999998,156.95,44762412,SHLF10860561,10,0.16,6,9,10,12,No-Filter,299668,-16,1954,28118,682,1775,57869,-2819,19371,1025239,4181,294,2904,44788,44705,XRF2,1,2021-10-07,17:32:27,HERTZBERG,2021-10-15 13:45:43,
390C,U1557,B,18,X,1,A,510.0,152.60999999999999,157.07,44762412,SHLF10860561,10,0.16,6,10,10,12,No-Filter,310916,-53,1704,27590,765,1714,52428,-3458,19797,1090867,4506,612,3048,45205,44680,XRF2,1,2021-10-07,17:32:48,HERTZBERG,2021-10-15 13:45:43,
390C,U1557,B,18,X,1,A,560.0,152.66,157.12,44762412,SHLF10860561,10,0.16,6,9,10,12,No-Filter,307068,-37,1773,28437,623,1868,54893,-3576,19087,1067545,4427,188,2831,44713,44737,XRF2,1,2021-10-07,17:33:08,HERTZBERG,2021-10-15 13:45:43,
390C,U1557,B,18,X,1,A,610.0,152.71,157.17000000000002,44762412,SHLF10860561,10,0.16,6,9,10,12,No-Filter,300330,-74,1562,24685,602,2060,60981,-3575,18360,1029044,4507,452,2917,44693,45689,XRF2,1,2021-10-07,17:33:29,HERTZBERG,2021-10-15 13:45:43,
390C,U1557,B,18,X,1,A,660.0,152.76,157.22,44762412,SHLF10860561,10,0.16,6,9,10,12,No-Filter,268128,-21,723,15931,440,2470,73517,-3162,15012,883348,4047,628,3034,42967,45197,XRF2,1,2021-10-07,17:33:49,HERTZBERG,2021-10-15 13:45:43,
390C,U1557,B,18,X,1,A,695.0,152.795,157.255,44762412,SHLF10860561,10,0.16,6,9,10,12,No-Filter,264033,-77,468,13976,201,2771,84119,-3804,14677,841661,4002,321,2927,43934,47658,XRF2,1,2021-10-07,17:34:08,HERTZBERG,2021-10-15 13:45:43,
390C,U1557,B,18,X,1,A,750.0,152.85,157.31,44762412,SHLF10860561,10,0.16,6,9,10,12,No-Filter,261553,-55,984,18601,533,2149,69285,-3137,14244,855294,3913,307,2763,40790,45890,XRF2,1,2021-10-07,17:34:28,HERTZBERG,2021-10-15 13:45:43,
390C,U1557,B,18,X,1,A,800.0,152.9,157.36,44762412,SHLF10860561,10,0.16,6,9,10,12,No-Filter,267684,-53,958,18257,517,2780,69681,-3153,15476,877362,3997,500,2973,43349,46169,XRF2,1,2021-10-07,17:34:48,HERTZBERG,2021-10-15 13:45:43,
390C,U1557,B,18,X,1,A,860.0,152.96,157.42000000000002,44762412,SHLF10860561,10,0.16,6,9,10,12,No-Filter,243827,-69,1047,19640,358,1818,53075,-176,14472,819001,3737,213,2778,39164,40230,XRF2,1,2021-10-07,17:35:07,HERTZBERG,2021-10-15 13:45:43,
390C,U1557,B,18,X,1,A,905.0,153.005,157.465,44762412,SHLF10860561,10,0.16,6,9,10,12,No-Filter,259806,-14,1212,20645,464,2467,66368,-3070,16235,846899,4095,407,2693,42216,43931,XRF2,1,2021-10-07,17:35:27,HERTZBERG,2021-10-15 13:45:43,
390C,U1557,B,18,X,1,A,950.0,153.04999999999998,157.51,44762412,SHLF10860561,10,0.16,6,9,10,12,No-Filter,250640,-75,927,18537,327,1924,60793,-1665,14535,831943,3753,215,3110,40309,42041,XRF2,1,2021-10-07,17:35:46,HERTZBERG,2021-10-15 13:45:43,
390C,U1557,B,18,X,2,A,1000.0,154.6,159.06,44762422,SHLF10860591,10,0.16,6,9,10,12,No-Filter,299715,-49,1369,23771,433,2196,62807,-3216,17553,1032909,4255,647,3139,43989,44268,XRF2,1,2021-10-07,17:04:03,HERTZBERG,2021-10-15 13:45:45,
390C,U1557,B,18,X,2,A,1045.0,154.64499999999998,159.105,44762422,SHLF10860591,10,0.16,6,9,10,12,No-Filter,297859,-51,1628,25696,397,2084,68779,-4047,17753,1006954,4073,449,3507,44224,45871,XRF2,1,2021-10-07,17:04:23,HERTZBERG,2021-10-15 13:45:45,
390C,U1557,B,18,X,2,A,105.0,153.70499999999998,158.165,44762422,SHLF10860591,10,0.16,6,9,10,12,No-Filter,297668,-47,1289,22220,556,2226,67258,-3319,18758,1013981,4516,251,3233,45892,45323,XRF2,1,2021-10-07,16:59:01,HERTZBERG,2021-10-15 13:45:45,
390C,U1557,B,18,X,2,A,1100.0,154.7,159.16,44762422,SHLF10860591,10,0.16,6,10,10,12,No-Filter,314976,-51,1666,26025,549,2039,61307,-3653,19257,1095382,4595,477,3615,45346,45072,XRF2,1,2021-10-07,17:04:44,HERTZBERG,2021-10-15 13:45:45,
390C,U1557,B,18,X,2,A,1170.0,154.76999999999998,159.23,44762422,SHLF10860591,10,0.16,6,10,10,12,No-Filter,310311,-60,1459,24392,594,2030,62954,-3691,18035,1077026,4523,419,3009,44955,46002,XRF2,1,2021-10-07,17:05:05,HERTZBERG,2021-10-15 13:45:45,
390C,U1557,B,18,X,2,A,1220.0,154.82,159.28,44762422,SHLF10860591,10,0.16,6,10,10,12,No-Filter,313395,-12,1430,23790,698,2173,64079,-3573,18740,1084018,4649,677,3109,45908,45840,XRF2,1,2021-10-07,17:05:25,HERTZBERG,2021-10-15 13:45:45,
390C,U1557,B,18,X,2,A,1300.0,154.9,159.36,44762422,SHLF10860591,10,0.16,6,10,10,12,No-Filter,315029,-57,2073,30258,774,1611,53765,-3293,19500,1104295,4228,364,3044,44255,44271,XRF2,1,2021-10-07,17:05:47,HERTZBERG,2021-10-15 13:45:45,
390C,U1557,B,18,X,2,A,1370.0,154.97,159.43,44762422,SHLF10860591,10,0.16,6,9,10,12,No-Filter,287330,-67,1254,22274,811,1990,57206,-2408,17233,995527,3899,410,3503,41876,43090,XRF2,1,2021-10-07,17:06:07,HERTZBERG,2021-10-15 13:45:45,
390C,U1557,B,18,X,2,A,1420.0,155.01999999999998,159.48,44762422,SHLF10860591,10,0.16,6,9,10,12,No-Filter,296472,-32,1272,23227,749,1954,56782,-3155,18323,1032477,4249,520,2980,42757,43962,XRF2,1,2021-10-07,17:06:27,HERTZBERG,2021-10-15 13:45:45,
390C,U1557,B,18,X,2,A,1470.0,155.07,159.53,44762422,SHLF10860591,10,0.16,6,9,10,12,No-Filter,249547,-69,1001,19468,411,1908,56434,-640,14948,841810,3577,535,2370,38017,40830,XRF2,1,2021-10-07,17:06:47,HERTZBERG,2021-10-15 13:45:45,
390C,U1557,B,18,X,2,A,150.0,153.75,158.21,44762422,SHLF10860591,10,0.16,6,9,10,12,No-Filter,294399,-46,963,20480,911,2392,68201,-3185,17796,998194,4462,446,3263,45381,45221,XRF2,1,2021-10-07,16:59:21,HERTZBERG,2021-10-15 13:45:45,
390C,U1557,B,18,X,2,A,200.0,153.79999999999998,158.26,44762422,SHLF10860591,10,0.16,6,10,10,12,No-Filter,308599,-56,1516,26478,738,2208,59961,-3925,19215,1067131,4658,199,4018,45773,45491,XRF2,1,2021-10-07,16:59:41,HERTZBERG,2021-10-15 13:45:45,
390C,U1557,B,18,X,2,A,305.0,153.905,158.365,44762422,SHLF10860591,10,0.16,6,9,10,12,No-Filter,272406,-52,944,18096,310,2455,75189,-3669,15936,892211,4032,709,3062,43773,46625,XRF2,1,2021-10-07,17:00:03,HERTZBERG,2021-10-15 13:45:45,
390C,U1557,B,18,X,2,A,365.0,153.965,158.425,44762422,SHLF10860591,10,0.16,6,9,10,12,No-Filter,303593,-35,1731,26662,603,2151,62022,-3474,19043,1041015,4612,433,3251,46514,45308,XRF2,1,2021-10-07,17:00:23,HERTZBERG,2021-10-15 13:45:45,
390C,U1557,B,18,X,2,A,415.0,154.015,158.475,44762422,SHLF10860591,10,0.16,6,10,10,12,No-Filter,311978,-68,1657,26735,616,2122,62492,-4124,19881,1073154,4571,457,3395,46346,46894,XRF2,1,2021-10-07,17:00:43,HERTZBERG,2021-10-15 13:45:45,
390C,U1557,B,18,X,2,A,50.0,153.65,158.11,44762422,SHLF10860591,10,0.16,6,9,10,12,No-Filter,265771,-44,952,18439,752,2455,72456,-2336,15479,868316,4239,374,5498,42666,45591,XRF2,1,2021-10-07,16:58:42,HERTZBERG,2021-10-15 13:45:45,
390C,U1557,B,18,X,2,A,525.0,154.125,158.585,44762422,SHLF10860591,10,0.16,6,9,10,12,No-Filter,293015,-81,1476,23691,569,2128,65617,-3493,17717,993577,4269,675,3138,45057,44961,XRF2,1,2021-10-07,17:01:04,HERTZBERG,2021-10-15 13:45:45,
390C,U1557,B,18,X,2,A,570.0,154.17,158.63,44762422,SHLF10860591,10,0.16,6,9,10,12,No-Filter,294533,-42,1271,22117,513,2374,68493,-3340,17837,994509,4452,476,3190,45376,45683,XRF2,1,2021-10-07,17:01:24,HERTZBERG,2021-10-15 13:45:45,
390C,U1557,B,18,X,2,A,620.0,154.22,158.68,44762422,SHLF10860591,10,0.16,6,9,10,12,No-Filter,254108,-74,797,16533,440,2589,78873,-3006,13647,812246,4002,416,4075,41643,45747,XRF2,1,2021-10-07,17:01:44,HERTZBERG,2021-10-15 13:45:45,
390C,U1557,B,18,X,2,A,655.0,154.255,158.715,44762422,SHLF10860591,10,0.16,6,9,10,12,No-Filter,240034,-95,1041,20638,296,1974,59060,-598,14156,789919,3713,496,2749,38209,40904,XRF2,1,2021-10-07,17:02:04,HERTZBERG,2021-10-15 13:45:45,
390C,U1557,B,18,X,2,A,705.0,154.305,158.76500000000001,44762422,SHLF10860591,10,0.16,6,9,10,12,No-Filter,301823,-67,1193,22614,527,1989,66415,-3510,18018,1029726,4593,146,2763,45349,46153,XRF2,1,2021-10-07,17:02:23,HERTZBERG,2021-10-15 13:45:45,
390C,U1557,B,18,X,2,A,755.0,154.355,158.815,44762422,SHLF10860591,10,0.16,6,9,10,12,No-Filter,268936,-61,1150,20053,491,2059,61482,-2008,15572,912916,4095,320,2571,40523,42861,XRF2,1,2021-10-07,17:02:44,HERTZBERG,2021-10-15 13:45:45,
390C,U1557,B,18,X,2,A,820.0,154.42,158.88,44762422,SHLF10860591,10,0.16,6,9,10,12,No-Filter,288065,-77,1621,26063,448,1692,61091,-3683,17266,983587,3840,459,2464,41517,44647,XRF2,1,2021-10-07,17:03:03,HERTZBERG,2021-10-15 13:45:45,
390C,U1557,B,18,X,2,A,880.0,154.48,158.94,44762422,SHLF10860591,10,0.16,6,9,10,12,No-Filter,292396,-81,1270,23648,466,1953,61800,-3028,17388,1003681,4275,609,2753,43896,43888,XRF2,1,2021-10-07,17:03:23,HERTZBERG,2021-10-15 13:45:45,
390C,U1557,B,18,X,2,A,940.0,154.54,159.0,44762422,SHLF10860591,10,0.16,6,9,10,12,No-Filter,293240,-74,1524,24298,411,1811,57547,-2820,17549,1014745,4287,771,2545,43091,44174,XRF2,1,2021-10-07,17:03:43,HERTZBERG,2021-10-15 13:45:45,
390C,U1557,B,18,X,3,A,100.0,155.2,159.66,44762432,SHLF10860621,10,0.16,6,9,10,12,No-Filter,282063,-50,1317,22995,467,2120,65616,-2763,16361,950647,3913,571,2803,41059,44680,XRF2,1,2021-10-07,16:27:31,HERTZBERG,2021-10-15 13:45:46,
390C,U1557,B,18,X,3,A,1010.0,156.10999999999999,160.57,44762432,SHLF10860621,10,0.16,6,8,10,12,No-Filter,147782,14,3049,46214,554,2082,54964,-2047,50083,37184,19774,413,17580,222146,40946,XRF2,1,2021-10-07,16:32:50,HERTZBERG,2021-10-15 13:45:46,
390C,U1557,B,18,X,3,A,1060.0,156.16,160.62,44762432,SHLF10860621,10,0.16,6,8,10,12,No-Filter,143984,5,1922,30565,205,2584,73922,-3140,37281,37134,17071,422,16800,202539,44087,XRF2,1,2021-10-07,16:33:07,HERTZBERG,2021-10-15 13:45:46,
390C,U1557,B,18,X,3,A,1155.0,156.255,160.715,44762432,SHLF10860621,10,0.16,6,8,10,12,No-Filter,150538,-41,3901,53877,721,1984,52391,-2993,49982,38519,20679,581,17491,224300,41076,XRF2,1,2021-10-07,16:33:24,HERTZBERG,2021-10-15 13:45:46,
390C,U1557,B,18,X,3,A,1300.0,156.4,160.86,44762432,SHLF10860621,10,0.16,6,8,10,12,No-Filter,156689,-18,3920,53583,640,2082,56921,-3156,49564,39421,21539,568,26707,228383,42028,XRF2,1,2021-10-07,16:33:43,HERTZBERG,2021-10-15 13:45:46,
390C,U1557,B,18,X,3,A,1355.0,156.45499999999998,160.915,44762432,SHLF10860621,10,0.16,6,9,10,12,No-Filter,258641,-44,1523,24858,542,2010,59273,-2320,18094,836262,5498,453,3356,53313,43408,XRF2,1,2021-10-07,16:34:00,HERTZBERG,2021-10-15 13:45:46,
390C,U1557,B,18,X,3,A,1400.0,156.5,160.96,44762432,SHLF10860621,10,0.16,6,9,10,12,No-Filter,256794,3,1517,24500,302,1629,55078,-1159,15958,853674,4358,505,3258,46705,41291,XRF2,1,2021-10-07,16:34:20,HERTZBERG,2021-10-15 13:45:46,
390C,U1557,B,18,X,3,A,1450.0,156.54999999999998,161.01,44762432,SHLF10860621,10,0.16,6,9,10,12,No-Filter,274335,-74,1317,22282,414,1935,64249,-3223,13903,918114,3921,453,2378,42059,44817,XRF2,1,2021-10-07,16:34:39,HERTZBERG,2021-10-15 13:45:46,
390C,U1557,B,18,X,3,A,150.0,155.25,159.71,44762432,SHLF10860621,10,0.16,6,9,10,12,No-Filter,306894,-45,1972,29406,589,1575,51518,-2654,17749,1076694,4546,337,3137,41505,44354,XRF2,1,2021-10-07,16:27:51,HERTZBERG,2021-10-15 13:45:46,
390C,U1557,B,18,X,3,A,200.0,155.29999999999998,159.76,44762432,SHLF10860621,10,0.16,6,10,10,12,No-Filter,308632,-74,1726,26586,666,1668,56862,-3095,18549,1079297,4136,288,2823,43141,44645,XRF2,1,2021-10-07,16:28:11,HERTZBERG,2021-10-15 13:45:46,
390C,U1557,B,18,X,3,A,270.0,155.37,159.83,44762432,SHLF10860621,10,0.16,6,9,10,12,No-Filter,274589,-78,1339,22372,378,2179,63003,-2847,15118,931617,3846,83,2812,39876,43385,XRF2,1,2021-10-07,16:28:32,HERTZBERG,2021-10-15 13:45:46,
