Expedition,Site,Hole,Core,Type,Section,A/W,Offset (mm),CSF-A (m),CCSF-390-U1559-ACD-20220529-Shipboard (m),Test No.,TextID,Voltage (kV),Tube Current (mA),Live Time (s),Real Time (s),Down-Core Slit (mm),Cross-Core Slit (mm),Filter,Total Counts Per Second,Ca-Ka Area,Fe-Ka Area,Ni-Ka Area,As-Ka Area,Br-Ka Area,Rb-Ka Area,Sr-Ka Area,Y -Ka Area,Zr-Ka Area,Nb-Ka Area,Mo-Ka Area,Ag-Ka Area,Ba-Ka Area,Instrument,Scan Number,Date of Measure,Time of Measure,Uploaded By,Date Uploaded,Comment
390C,U1559,A,4,H,5,A,100.0,28.62,36.83,44838552,SHLF10887841,50,0.75,10,14,10,12,Cu,81183,9531,819,3434,25,83,79,7582,58,342,19,59,435924,2589,XRF2,1,2022-09-14,15:50:40,YEON,2022-09-26 21:12:29,
390C,U1559,A,4,H,5,A,150.0,28.669999999999998,36.879999999999995,44838552,SHLF10887841,50,0.75,10,14,10,12,Cu,81335,9696,844,3241,57,146,81,7904,69,327,65,29,432855,1821,XRF2,1,2022-09-14,15:51:04,YEON,2022-09-26 21:12:29,
390,U1559,C,4,H,4,A,900.0,28.709999999999997,36.931,44838232,SHLF11583461,50,0.75,10,14,10,12,Cu,86266,7966,667,3676,42,184,114,9442,135,382,38,27,439244,2777,XRF2,1,2022-09-14,15:15:31,YEON,2022-09-26 21:10:19,
390,U1559,C,4,H,4,A,950.0,28.759999999999998,36.981,44838232,SHLF11583461,50,0.75,10,14,10,12,Cu,86251,9109,741,3577,106,206,62,9706,68,358,31,63,436968,2568,XRF2,1,2022-09-14,15:15:56,YEON,2022-09-26 21:10:19,
390,U1559,C,4,H,4,A,1000.0,28.81,37.031,44838232,SHLF11583461,50,0.75,10,14,10,12,Cu,86298,8834,840,3462,37,220,55,10150,98,413,41,68,436168,2397,XRF2,1,2022-09-14,15:16:20,YEON,2022-09-26 21:10:19,
390,U1559,C,4,H,4,A,1050.0,28.86,37.080999999999996,44838232,SHLF11583461,50,0.75,10,14,10,12,Cu,86683,9651,760,3562,63,209,111,9993,74,299,50,26,438249,2304,XRF2,1,2022-09-14,15:16:44,YEON,2022-09-26 21:10:19,
390,U1559,C,4,H,4,A,1100.0,28.91,37.131,44838232,SHLF11583461,50,0.75,10,14,10,12,Cu,87354,9561,916,3597,104,188,103,10174,68,455,57,34,439332,2891,XRF2,1,2022-09-14,15:17:08,YEON,2022-09-26 21:10:19,
390,U1559,C,4,H,4,A,1150.0,28.959999999999997,37.181,44838232,SHLF11583461,50,0.75,10,14,10,12,Cu,87056,10500,899,3593,53,226,42,9854,89,408,29,5,441479,2328,XRF2,1,2022-09-14,15:17:32,YEON,2022-09-26 21:10:19,
390,U1559,C,4,H,4,A,1200.0,29.009999999999998,37.231,44838232,SHLF11583461,50,0.75,10,14,10,12,Cu,86675,10567,781,3564,56,190,104,10100,57,363,44,76,438877,2828,XRF2,1,2022-09-14,15:17:57,YEON,2022-09-26 21:10:19,
390,U1559,C,4,H,4,A,1250.0,29.06,37.281,44838232,SHLF11583461,50,0.75,10,14,10,12,Cu,86392,9266,740,3480,53,175,104,9778,102,478,17,23,438352,2179,XRF2,1,2022-09-14,15:18:21,YEON,2022-09-26 21:10:19,
390,U1559,C,4,H,4,A,1300.0,29.11,37.330999999999996,44838232,SHLF11583461,50,0.75,10,14,10,12,Cu,86277,8935,735,3402,78,217,89,9815,33,328,50,19,437596,2113,XRF2,1,2022-09-14,15:18:45,YEON,2022-09-26 21:10:19,
390,U1559,C,4,H,4,A,1350.0,29.16,37.381,44838232,SHLF11583461,50,0.75,10,14,10,12,Cu,87021,8399,698,3542,59,201,70,10115,93,460,91,84,437586,2207,XRF2,1,2022-09-14,15:19:10,YEON,2022-09-26 21:10:19,
390,U1559,C,4,H,4,A,1400.0,29.209999999999997,37.431,44838232,SHLF11583461,50,0.75,10,14,10,12,Cu,87290,8494,792,3715,65,209,55,9846,75,411,37,54,438161,2075,XRF2,1,2022-09-14,15:19:34,YEON,2022-09-26 21:10:19,
390,U1559,C,4,H,4,A,1450.0,29.259999999999998,37.481,44838232,SHLF11583461,50,0.75,10,14,10,12,Cu,86170,8518,675,3600,31,162,72,9217,51,281,52,99,448130,1692,XRF2,1,2022-09-14,15:19:58,YEON,2022-09-26 21:10:19,
390,U1559,C,4,H,5,A,50.0,29.35,37.571,44838242,SHLF11583491,50,0.75,10,14,10,12,Cu,86322,7847,731,3533,39,231,43,9601,59,342,38,26,437177,2273,XRF2,1,2022-09-15,12:40:21,YEON,2022-09-26 21:10:25,
390,U1559,C,4,H,5,A,100.0,29.400000000000002,37.621,44838242,SHLF11583491,50,0.75,10,14,10,12,Cu,85877,8755,707,3585,96,152,109,9454,76,347,54,43,434784,2465,XRF2,1,2022-09-15,12:40:46,YEON,2022-09-26 21:10:25,
390,U1559,C,4,H,5,A,150.0,29.45,37.671,44838242,SHLF11583491,50,0.75,10,14,10,12,Cu,85989,7653,725,3564,62,231,76,9973,83,346,45,23,434300,2356,XRF2,1,2022-09-15,12:41:10,YEON,2022-09-26 21:10:25,
390,U1559,C,4,H,5,A,200.0,29.5,37.721000000000004,44838242,SHLF11583491,50,0.75,10,14,10,12,Cu,85760,10227,629,3537,47,209,143,9791,50,233,31,114,434776,2578,XRF2,1,2022-09-15,12:41:34,YEON,2022-09-26 21:10:25,
390,U1559,C,4,H,5,A,250.0,29.55,37.771,44838242,SHLF11583491,50,0.75,10,14,10,12,Cu,86382,10859,717,3603,38,180,65,9853,36,302,43,81,436217,2460,XRF2,1,2022-09-15,12:41:59,YEON,2022-09-26 21:10:25,
390,U1559,C,4,H,5,A,300.0,29.6,37.821,44838242,SHLF11583491,50,0.75,10,14,10,12,Cu,86683,10461,758,3540,66,209,45,9736,45,246,21,43,437014,1952,XRF2,1,2022-09-15,12:42:23,YEON,2022-09-26 21:10:25,
390,U1559,C,4,H,5,A,350.0,29.650000000000002,37.871,44838242,SHLF11583491,50,0.75,10,14,10,12,Cu,86534,9160,684,3494,40,190,82,9789,110,367,57,47,436898,2347,XRF2,1,2022-09-15,12:42:47,YEON,2022-09-26 21:10:25,
390,U1559,C,4,H,5,A,400.0,29.7,37.921,44838242,SHLF11583491,50,0.75,10,14,10,12,Cu,86308,8013,757,3495,38,212,99,9642,59,377,31,21,436222,2221,XRF2,1,2022-09-15,12:43:12,YEON,2022-09-26 21:10:25,
390,U1559,C,4,H,5,A,450.0,29.75,37.971000000000004,44838242,SHLF11583491,50,0.75,10,14,10,12,Cu,85709,8914,807,3583,70,200,92,9599,100,458,49,43,435261,1980,XRF2,1,2022-09-15,12:43:36,YEON,2022-09-26 21:10:25,
390,U1559,C,4,H,5,A,500.0,29.8,38.021,44838242,SHLF11583491,50,0.75,10,14,10,12,Cu,85857,8214,856,3609,70,150,61,9124,82,451,29,57,437480,2748,XRF2,1,2022-09-15,12:44:00,YEON,2022-09-26 21:10:25,
390,U1559,C,4,H,5,A,550.0,29.85,38.071,44838242,SHLF11583491,50,0.75,10,14,10,12,Cu,85711,9020,1275,3573,61,117,97,8652,101,435,48,55,436556,3199,XRF2,1,2022-09-15,12:44:25,YEON,2022-09-26 21:10:25,
390,U1559,C,4,H,5,A,600.0,29.900000000000002,38.121,44838242,SHLF11583491,50,0.75,10,14,10,12,Cu,86096,10308,803,3614,70,199,62,9395,93,339,51,106,436638,2607,XRF2,1,2022-09-15,12:44:49,YEON,2022-09-26 21:10:25,
390,U1559,C,4,H,5,A,650.0,29.95,38.171,44838242,SHLF11583491,50,0.75,10,14,10,12,Cu,86792,9226,1033,3622,82,226,141,9542,30,422,67,25,438040,2743,XRF2,1,2022-09-15,12:45:13,YEON,2022-09-26 21:10:25,
390,U1559,C,4,H,5,A,700.0,30.0,38.221000000000004,44838242,SHLF11583491,50,0.75,10,14,10,12,Cu,86845,8162,932,3583,47,200,85,9667,113,446,30,23,439623,2493,XRF2,1,2022-09-15,12:45:38,YEON,2022-09-26 21:10:25,
390,U1559,C,4,H,5,A,750.0,30.05,38.271,44838242,SHLF11583491,50,0.75,10,14,10,12,Cu,87405,7493,986,3573,58,253,61,9788,125,361,53,50,440309,3111,XRF2,1,2022-09-15,12:46:02,YEON,2022-09-26 21:10:25,
390,U1559,C,4,H,5,A,800.0,30.1,38.321,44838242,SHLF11583491,50,0.75,10,14,10,12,Cu,87470,8210,936,3573,73,168,145,9678,87,381,33,88,441117,2687,XRF2,1,2022-09-15,12:46:26,YEON,2022-09-26 21:10:25,
390,U1559,C,4,H,5,A,850.0,30.150000000000002,38.371,44838242,SHLF11583491,50,0.75,10,14,10,12,Cu,86873,6924,899,3519,68,268,116,8690,98,347,34,77,441307,2794,XRF2,1,2022-09-15,12:46:51,YEON,2022-09-26 21:10:25,
390,U1559,C,4,H,5,A,900.0,30.2,38.421,44838242,SHLF11583491,50,0.75,10,14,10,12,Cu,86455,8576,836,3535,45,246,114,10064,64,331,49,25,438556,2460,XRF2,1,2022-09-15,12:47:15,YEON,2022-09-26 21:10:25,
390,U1559,C,4,H,5,A,950.0,30.25,38.471000000000004,44838242,SHLF11583491,50,0.75,10,14,10,12,Cu,86781,7025,734,3620,77,190,89,9150,98,376,63,69,438819,2394,XRF2,1,2022-09-15,12:47:40,YEON,2022-09-26 21:10:25,
390,U1559,C,4,H,5,A,1000.0,30.3,38.521,44838242,SHLF11583491,50,0.75,10,14,10,12,Cu,87435,7962,982,3544,47,219,99,9450,105,391,47,68,439247,2721,XRF2,1,2022-09-15,12:48:04,YEON,2022-09-26 21:10:25,
390,U1559,C,4,H,5,A,1050.0,30.35,38.571,44838242,SHLF11583491,50,0.75,10,14,10,12,Cu,87079,8515,1020,3522,56,169,85,9234,68,359,44,69,440558,2786,XRF2,1,2022-09-15,12:48:28,YEON,2022-09-26 21:10:25,
390,U1559,C,4,H,5,A,1100.0,30.400000000000002,38.621,44838242,SHLF11583491,50,0.75,10,14,10,12,Cu,87550,8032,1153,3582,60,188,133,9382,55,400,18,69,441812,3103,XRF2,1,2022-09-15,12:48:53,YEON,2022-09-26 21:10:25,
390,U1559,C,4,H,5,A,1150.0,30.45,38.671,44838242,SHLF11583491,50,0.75,10,14,10,12,Cu,88176,8418,1365,3532,48,186,109,9158,122,463,33,99,441936,4040,XRF2,1,2022-09-15,12:49:17,YEON,2022-09-26 21:10:25,
390,U1559,C,4,H,5,A,1200.0,30.5,38.721000000000004,44838242,SHLF11583491,50,0.75,10,14,10,12,Cu,87328,9016,980,3559,52,209,85,10242,147,304,29,49,440356,3307,XRF2,1,2022-09-15,12:49:41,YEON,2022-09-26 21:10:25,
390,U1559,C,4,H,5,A,1250.0,30.55,38.771,44838242,SHLF11583491,50,0.75,10,14,10,12,Cu,87176,8993,1068,3621,56,195,136,9348,54,349,42,101,440487,2590,XRF2,1,2022-09-15,12:50:06,YEON,2022-09-26 21:10:25,
390,U1559,C,4,H,5,A,1300.0,30.6,38.821,44838242,SHLF11583491,50,0.75,10,14,10,12,Cu,87469,6508,895,3553,76,302,46,9974,136,425,21,49,440828,2783,XRF2,1,2022-09-15,12:50:30,YEON,2022-09-26 21:10:25,
390,U1559,C,4,H,5,A,1350.0,30.650000000000002,38.871,44838242,SHLF11583491,50,0.75,10,14,10,12,Cu,87860,8021,903,3550,42,207,101,10201,95,362,25,41,441094,2961,XRF2,1,2022-09-15,12:50:54,YEON,2022-09-26 21:10:25,
390,U1559,C,4,H,5,A,1400.0,30.7,38.921,44838242,SHLF11583491,50,0.75,10,14,10,12,Cu,87368,8508,1006,3533,54,144,106,9668,61,419,22,12,445714,2818,XRF2,1,2022-09-15,12:51:19,YEON,2022-09-26 21:10:25,
390,U1559,C,4,H,5,A,1450.0,30.75,38.971000000000004,44838242,SHLF11583491,50,0.75,10,14,10,12,Cu,86233,9055,855,3598,43,167,94,9629,101,333,49,42,446874,2414,XRF2,1,2022-09-15,12:51:43,YEON,2022-09-26 21:10:25,
390,U1559,C,4,H,5,A,1500.0,30.8,39.021,44838242,SHLF11583491,50,0.75,10,14,10,12,Cu,81150,4424,431,3221,56,94,81,4517,62,367,60,62,457949,1686,XRF2,1,2022-09-15,12:52:07,YEON,2022-09-26 21:10:25,
390,U1559,C,4,H,6,A,50.0,30.85,39.071,44838252,SHLF11583521,50,0.75,10,14,10,12,Cu,86830,7050,891,3715,64,248,31,10454,110,391,43,29,439433,2600,XRF2,1,2022-09-15,13:22:15,YEON,2022-09-26 21:10:31,
390,U1559,C,4,H,6,A,100.0,30.900000000000002,39.121,44838252,SHLF11583521,50,0.75,10,14,10,12,Cu,86682,7733,802,3722,68,213,68,9315,105,281,26,92,436032,2394,XRF2,1,2022-09-15,13:22:39,YEON,2022-09-26 21:10:31,
390,U1559,C,4,H,6,A,150.0,30.95,39.171,44838252,SHLF11583521,50,0.75,10,14,10,12,Cu,86335,7303,799,3655,59,207,68,8820,74,385,18,78,437710,2417,XRF2,1,2022-09-15,13:23:04,YEON,2022-09-26 21:10:31,
390,U1559,C,4,H,6,A,200.0,31.0,39.221000000000004,44838252,SHLF11583521,50,0.75,10,14,10,12,Cu,86736,8133,982,3698,62,227,32,8719,112,434,38,45,436244,2854,XRF2,1,2022-09-15,13:23:28,YEON,2022-09-26 21:10:31,
390,U1559,C,4,H,6,A,250.0,31.05,39.271,44838252,SHLF11583521,50,0.75,10,14,10,12,Cu,86704,9341,971,3576,58,182,107,8829,71,376,36,29,437282,2457,XRF2,1,2022-09-15,13:23:52,YEON,2022-09-26 21:10:31,
390,U1559,C,4,H,6,A,300.0,31.1,39.321,44838252,SHLF11583521,50,0.75,10,14,10,12,Cu,87006,9285,980,3592,67,133,109,8641,78,486,73,48,439367,2585,XRF2,1,2022-09-15,13:24:17,YEON,2022-09-26 21:10:31,
390,U1559,C,4,H,6,A,350.0,31.150000000000002,39.371,44838252,SHLF11583521,50,0.75,10,14,10,12,Cu,86751,9796,945,3472,52,199,89,8548,113,422,63,7,440142,2751,XRF2,1,2022-09-15,13:24:41,YEON,2022-09-26 21:10:31,
390,U1559,C,4,H,6,A,400.0,31.2,39.421,44838252,SHLF11583521,50,0.75,10,14,10,12,Cu,86947,7519,885,3656,78,219,129,9121,108,480,22,39,440257,2669,XRF2,1,2022-09-15,13:25:06,YEON,2022-09-26 21:10:31,
390,U1559,C,4,H,6,A,450.0,31.25,39.471000000000004,44838252,SHLF11583521,50,0.75,10,14,10,12,Cu,86188,8764,940,3519,76,202,124,8957,90,340,45,94,440335,2290,XRF2,1,2022-09-15,13:25:30,YEON,2022-09-26 21:10:31,
390,U1559,C,4,H,6,A,500.0,31.3,39.521,44838252,SHLF11583521,50,0.75,10,14,10,12,Cu,85991,8201,685,3523,14,176,61,9382,111,301,22,39,439278,1996,XRF2,1,2022-09-15,13:25:55,YEON,2022-09-26 21:10:31,
390,U1559,C,4,H,6,A,550.0,31.35,39.571,44838252,SHLF11583521,50,0.75,10,14,10,12,Cu,85745,7144,717,3448,41,210,42,9057,104,299,29,41,438284,2691,XRF2,1,2022-09-15,13:26:19,YEON,2022-09-26 21:10:31,
390,U1559,C,4,H,6,A,600.0,31.400000000000002,39.621,44838252,SHLF11583521,50,0.75,10,14,10,12,Cu,85388,8707,692,3531,62,167,94,9218,97,315,65,42,437197,2127,XRF2,1,2022-09-15,13:26:43,YEON,2022-09-26 21:10:31,
390,U1559,C,4,H,6,A,650.0,31.45,39.671,44838252,SHLF11583521,50,0.75,10,14,10,12,Cu,86300,9838,826,3677,35,146,79,9608,96,290,53,81,439909,1984,XRF2,1,2022-09-15,13:27:08,YEON,2022-09-26 21:10:31,
390,U1559,C,4,H,6,A,700.0,31.5,39.721000000000004,44838252,SHLF11583521,50,0.75,10,14,10,12,Cu,86878,9905,731,3534,83,137,102,9675,50,260,20,34,439176,2235,XRF2,1,2022-09-15,13:27:32,YEON,2022-09-26 21:10:31,
390,U1559,C,4,H,6,A,750.0,31.55,39.771,44838252,SHLF11583521,50,0.75,10,14,10,12,Cu,86782,9730,804,3659,78,135,87,9316,72,460,33,36,440916,2651,XRF2,1,2022-09-15,13:27:57,YEON,2022-09-26 21:10:31,
390,U1559,C,4,H,6,A,800.0,31.6,39.821,44838252,SHLF11583521,50,0.75,10,14,10,12,Cu,86072,9582,653,3680,46,168,60,9297,93,311,24,61,439143,2334,XRF2,1,2022-09-15,13:28:21,YEON,2022-09-26 21:10:31,
390,U1559,C,4,H,6,A,850.0,31.650000000000002,39.871,44838252,SHLF11583521,50,0.75,10,14,10,12,Cu,86200,8212,646,3564,46,232,72,9360,27,398,25,42,439642,2124,XRF2,1,2022-09-15,13:28:46,YEON,2022-09-26 21:10:31,
390,U1559,C,4,H,6,A,900.0,31.7,39.921,44838252,SHLF11583521,50,0.75,10,14,10,12,Cu,86385,9797,768,3601,72,194,97,9418,79,328,25,42,439048,2172,XRF2,1,2022-09-15,13:29:10,YEON,2022-09-26 21:10:31,
390,U1559,C,4,H,6,A,950.0,31.75,39.971000000000004,44838252,SHLF11583521,50,0.75,10,14,10,12,Cu,86293,9177,770,3445,62,175,92,9515,66,394,27,31,438456,2231,XRF2,1,2022-09-15,13:29:35,YEON,2022-09-26 21:10:31,
390,U1559,C,4,H,6,A,1000.0,31.8,40.021,44838252,SHLF11583521,50,0.75,10,14,10,12,Cu,86812,9570,693,3534,43,157,90,9547,76,385,67,71,439948,2127,XRF2,1,2022-09-15,13:29:59,YEON,2022-09-26 21:10:31,
390,U1559,C,4,H,6,A,1050.0,31.85,40.071,44838252,SHLF11583521,50,0.75,10,14,10,12,Cu,86809,10412,701,3656,34,186,79,9436,83,288,27,35,439955,2357,XRF2,1,2022-09-15,13:30:24,YEON,2022-09-26 21:10:31,
390,U1559,D,4,H,4,A,750.0,29.86,40.129,44838402,SHLF11587981,50,0.75,10,14,10,12,Cu,87575,9534,1196,3559,83,188,109,9194,122,457,47,35,440873,4254,XRF2,1,2022-09-15,14:08:09,YEON,2022-09-26 21:11:39,
390,U1559,D,4,H,4,A,800.0,29.91,40.178999999999995,44838402,SHLF11587981,50,0.75,10,14,10,12,Cu,87307,10437,758,3630,58,157,133,9843,42,417,33,61,440138,2747,XRF2,1,2022-09-15,14:08:34,YEON,2022-09-26 21:11:39,
390,U1559,D,4,H,4,A,850.0,29.96,40.229,44838402,SHLF11587981,50,0.75,10,14,10,12,Cu,87559,8208,525,3653,54,200,89,10183,66,415,19,62,439829,2236,XRF2,1,2022-09-15,14:08:58,YEON,2022-09-26 21:11:39,
390,U1559,D,4,H,4,A,900.0,30.009999999999998,40.278999999999996,44838402,SHLF11587981,50,0.75,10,14,10,12,Cu,87355,6908,607,3481,66,166,113,10329,69,375,20,79,439723,2119,XRF2,1,2022-09-15,14:09:23,YEON,2022-09-26 21:11:39,
390,U1559,D,4,H,4,A,950.0,30.06,40.329,44838402,SHLF11587981,50,0.75,10,14,10,12,Cu,87449,9206,675,3569,39,170,62,9959,78,341,37,49,440116,2260,XRF2,1,2022-09-15,14:09:47,YEON,2022-09-26 21:11:39,
390,U1559,D,4,H,4,A,1000.0,30.11,40.379,44838402,SHLF11587981,50,0.75,10,14,10,12,Cu,87474,8890,711,3578,62,190,76,9806,91,319,35,62,440502,2501,XRF2,1,2022-09-15,14:10:12,YEON,2022-09-26 21:11:39,
390,U1559,D,4,H,4,A,1050.0,30.16,40.428999999999995,44838402,SHLF11587981,50,0.75,10,14,10,12,Cu,87383,10431,744,3680,30,182,68,9982,59,323,14,34,439318,2460,XRF2,1,2022-09-15,14:10:36,YEON,2022-09-26 21:11:39,
390,U1559,D,4,H,4,A,1100.0,30.21,40.479,44838402,SHLF11587981,50,0.75,10,14,10,12,Cu,87709,10787,750,3638,40,131,105,9757,107,387,30,114,443236,2527,XRF2,1,2022-09-15,14:11:01,YEON,2022-09-26 21:11:39,
390,U1559,D,4,H,4,A,1150.0,30.259999999999998,40.528999999999996,44838402,SHLF11587981,50,0.75,10,14,10,12,Cu,87749,11033,750,3629,76,171,99,9619,56,400,25,35,441933,2464,XRF2,1,2022-09-15,14:11:25,YEON,2022-09-26 21:11:39,
390,U1559,D,4,H,4,A,1200.0,30.31,40.579,44838402,SHLF11587981,50,0.75,10,14,10,12,Cu,88119,10881,845,3637,40,160,91,10285,74,405,34,59,440140,2701,XRF2,1,2022-09-15,14:11:50,YEON,2022-09-26 21:11:39,
390,U1559,D,4,H,4,A,1250.0,30.36,40.629,44838402,SHLF11587981,50,0.75,10,14,10,12,Cu,88298,10554,724,3623,88,213,31,10511,97,318,40,34,441211,2183,XRF2,1,2022-09-15,14:12:14,YEON,2022-09-26 21:11:39,
390,U1559,D,4,H,4,A,1300.0,30.41,40.678999999999995,44838402,SHLF11587981,50,0.75,10,14,10,12,Cu,87869,8780,585,3581,17,202,146,10411,82,444,19,8,440864,1800,XRF2,1,2022-09-15,14:12:39,YEON,2022-09-26 21:11:39,
390,U1559,D,4,H,4,A,1350.0,30.46,40.729,44838402,SHLF11587981,50,0.75,10,14,10,12,Cu,88609,11399,628,3732,51,124,90,10300,93,298,39,38,441180,2050,XRF2,1,2022-09-15,14:13:03,YEON,2022-09-26 21:11:39,
390,U1559,D,4,H,4,A,1400.0,30.509999999999998,40.778999999999996,44838402,SHLF11587981,50,0.75,10,14,10,12,Cu,88315,11388,759,3711,101,161,129,10163,71,408,37,25,444839,2173,XRF2,1,2022-09-15,14:13:28,YEON,2022-09-26 21:11:39,
390,U1559,D,4,H,4,A,1450.0,30.56,40.829,44838402,SHLF11587981,50,0.75,10,14,10,12,Cu,89186,11720,697,3646,56,186,73,10084,75,360,55,49,447413,3036,XRF2,1,2022-09-15,14:13:52,YEON,2022-09-26 21:11:39,
390,U1559,D,4,H,4,A,1500.0,30.61,40.879,44838402,SHLF11587981,50,0.75,10,13,10,12,Cu,77391,5500,387,3105,103,114,85,4747,83,302,54,40,461917,1195,XRF2,1,2022-09-15,14:14:17,YEON,2022-09-26 21:11:39,
390,U1559,D,4,H,5,A,50.0,30.67,40.939,44838412,SHLF11588011,50,0.75,10,14,10,12,Cu,87467,9002,563,3670,25,239,94,10064,121,321,66,6,440868,1839,XRF2,1,2022-09-15,14:45:44,YEON,2022-09-26 21:11:43,
390,U1559,D,4,H,5,A,100.0,30.720000000000002,40.989000000000004,44838412,SHLF11588011,50,0.75,10,14,10,12,Cu,87517,7199,596,3629,37,242,59,10029,49,376,58,15,439965,1874,XRF2,1,2022-09-15,14:46:08,YEON,2022-09-26 21:11:43,
390,U1559,D,4,H,5,A,150.0,30.77,41.039,44838412,SHLF11588011,50,0.75,10,14,10,12,Cu,87233,6500,623,3672,43,177,42,10121,86,309,25,42,440674,2171,XRF2,1,2022-09-15,14:46:33,YEON,2022-09-26 21:11:43,
390,U1559,D,4,H,5,A,200.0,30.82,41.089000000000006,44838412,SHLF11588011,50,0.75,10,14,10,12,Cu,87600,8210,582,3674,67,179,88,10114,59,362,59,52,440351,1997,XRF2,1,2022-09-15,14:46:57,YEON,2022-09-26 21:11:43,
390,U1559,D,4,H,5,A,250.0,30.87,41.139,44838412,SHLF11588011,50,0.75,10,14,10,12,Cu,87678,10645,813,3590,64,130,95,10310,28,415,31,45,439513,2814,XRF2,1,2022-09-15,14:47:22,YEON,2022-09-26 21:11:43,
390,U1559,D,4,H,5,A,300.0,30.92,41.189,44838412,SHLF11588011,50,0.75,10,14,10,12,Cu,87335,11643,682,3572,45,165,112,10311,33,382,74,73,438185,2281,XRF2,1,2022-09-15,14:47:47,YEON,2022-09-26 21:11:43,
390,U1559,D,4,H,5,A,350.0,30.970000000000002,41.239000000000004,44838412,SHLF11588011,50,0.75,10,14,10,12,Cu,87077,10514,761,3554,72,140,44,9733,66,392,37,25,438756,2488,XRF2,1,2022-09-15,14:48:11,YEON,2022-09-26 21:11:43,
390,U1559,D,4,H,5,A,400.0,31.02,41.289,44838412,SHLF11588011,50,0.75,10,14,10,12,Cu,87558,8785,831,3520,80,162,92,9934,78,303,43,29,438864,2570,XRF2,1,2022-09-15,14:48:36,YEON,2022-09-26 21:11:43,
390,U1559,D,4,H,5,A,450.0,31.07,41.339000000000006,44838412,SHLF11588011,50,0.75,10,14,10,12,Cu,87303,7913,699,3681,40,220,66,9765,93,412,22,13,439827,2693,XRF2,1,2022-09-15,14:49:00,YEON,2022-09-26 21:11:43,
390,U1559,D,4,H,5,A,500.0,31.12,41.389,44838412,SHLF11588011,50,0.75,10,14,10,12,Cu,86980,8753,586,3529,48,144,89,9967,71,400,8,38,438439,2113,XRF2,1,2022-09-15,14:49:25,YEON,2022-09-26 21:11:43,
390,U1559,D,4,H,5,A,550.0,31.17,41.439,44838412,SHLF11588011,50,0.75,10,14,10,12,Cu,87174,9152,804,3583,33,215,140,9745,66,451,27,20,438448,3302,XRF2,1,2022-09-15,14:49:49,YEON,2022-09-26 21:11:43,
390,U1559,D,4,H,5,A,580.0,31.2,41.469,44838412,SHLF11588011,50,0.75,10,14,10,12,Cu,86681,9618,1448,3539,36,190,129,8900,142,482,28,113,438051,4121,XRF2,1,2022-09-15,14:50:14,YEON,2022-09-26 21:11:43,
390,U1559,D,4,H,5,A,600.0,31.220000000000002,41.489000000000004,44838412,SHLF11588011,50,0.75,10,14,10,12,Cu,86719,10775,1199,3572,77,184,101,9428,151,542,53,28,437863,3156,XRF2,1,2022-09-15,14:50:37,YEON,2022-09-26 21:11:43,
390,U1559,D,4,H,5,A,650.0,31.27,41.539,44838412,SHLF11588011,50,0.75,10,14,10,12,Cu,87361,10768,700,3535,23,219,80,10399,61,384,34,51,439781,2575,XRF2,1,2022-09-15,14:51:01,YEON,2022-09-26 21:11:43,
390,U1559,D,4,H,5,A,700.0,31.32,41.589000000000006,44838412,SHLF11588011,50,0.75,10,14,10,12,Cu,87854,10958,712,3642,70,172,64,10703,118,337,82,88,440549,2435,XRF2,1,2022-09-15,14:51:26,YEON,2022-09-26 21:11:43,
390,U1559,D,4,H,5,A,750.0,31.37,41.639,44838412,SHLF11588011,50,0.75,10,14,10,12,Cu,87884,11026,734,3636,53,149,134,10304,113,315,40,79,442380,2737,XRF2,1,2022-09-15,14:51:51,YEON,2022-09-26 21:11:43,
390,U1559,D,4,H,5,A,800.0,31.42,41.689,44838412,SHLF11588011,50,0.75,10,14,10,12,Cu,87998,10506,691,3580,102,194,91,10519,46,470,81,68,442556,2191,XRF2,1,2022-09-15,14:52:15,YEON,2022-09-26 21:11:43,
390,U1559,D,4,H,5,A,850.0,31.470000000000002,41.739000000000004,44838412,SHLF11588011,50,0.75,10,14,10,12,Cu,87516,8619,663,3534,54,141,99,9798,63,454,53,16,441806,2713,XRF2,1,2022-09-15,14:52:40,YEON,2022-09-26 21:11:43,
390C,U1559,A,5,X,1,A,850.0,32.85,41.797000000000004,44838562,SHLF10888151,50,0.75,10,14,10,12,Cu,86096,6859,678,3744,36,232,109,9151,64,351,21,32,441439,2151,XRF2,1,2022-09-15,15:39:12,YEON,2022-09-26 21:12:31,
390C,U1559,A,5,X,1,A,885.0,32.885,41.832,44838562,SHLF10888151,50,0.75,10,14,10,12,Cu,85999,6610,373,3533,47,180,89,9224,22,385,48,40,442692,2060,XRF2,1,2022-09-15,15:39:36,YEON,2022-09-26 21:12:31,
390C,U1559,A,5,X,1,A,900.0,32.9,41.847,44838562,SHLF10888151,50,0.75,10,14,10,12,Cu,86376,8860,810,3528,71,168,95,9564,22,387,38,64,441791,2034,XRF2,1,2022-09-15,15:39:59,YEON,2022-09-26 21:12:31,
390C,U1559,A,5,X,1,A,950.0,32.95,41.897000000000006,44838562,SHLF10888151,50,0.75,10,14,10,12,Cu,86535,6648,643,3590,70,227,74,9609,96,362,39,61,440728,2100,XRF2,1,2022-09-15,15:40:24,YEON,2022-09-26 21:12:31,
