Expedition,Site,Hole,Core,Type,Section,A/W,Offset (mm),CSF-A (m),CCSF-390-U1559-ACD-20220529-Shipboard (m),Test No.,TextID,Voltage (kV),Tube Current (mA),Live Time (s),Real Time (s),Down-Core Slit (mm),Cross-Core Slit (mm),Filter,Total Counts Per Second,Mg-Ka Area,Al-Ka Area,Si-Ka Area,P -Ka Area,S -Ka Area,Cl-Ka Area,Ar-Ka Area,K -Ka Area,Ca-Ka Area,Ti-Ka Area,Cr-Ka Area,Mn-Ka Area,Fe-Ka Area,Rh-La-Coh Area,Instrument,Scan Number,Date of Measure,Time of Measure,Uploaded By,Date Uploaded,Comment
390,U1559,C,4,H,5,A,950.0,30.25,38.471000000000004,44837192,SHLF11583491,10,0.15,6,13,10,12,No-Filter,323949,-1,771,18654,405,3031,75310,-3678,1864,1155161,1492,822,1262,12322,52716,XRF2,1,2022-09-15,12:23:31,YEON,2022-09-26 20:59:18,
390,U1559,C,4,H,5,A,1000.0,30.3,38.521,44837192,SHLF11583491,10,0.15,6,14,10,12,No-Filter,357975,-51,834,20341,603,2764,69001,-4178,2361,1311523,1500,509,1249,15258,53370,XRF2,1,2022-09-15,12:23:54,YEON,2022-09-26 20:59:18,
390,U1559,C,4,H,5,A,1050.0,30.35,38.571,44837192,SHLF11583491,10,0.15,6,13,10,12,No-Filter,327039,-54,767,19784,592,2858,71890,-3935,2533,1170972,1554,457,1131,14557,52092,XRF2,1,2022-09-15,12:24:19,YEON,2022-09-26 20:59:18,
390,U1559,C,4,H,5,A,1100.0,30.400000000000002,38.621,44837192,SHLF11583491,10,0.15,6,14,10,12,No-Filter,344164,-49,915,20927,392,2754,71644,-4794,3819,1238429,1902,752,1398,17975,53411,XRF2,1,2022-09-15,12:24:42,YEON,2022-09-26 20:59:18,
390,U1559,C,4,H,5,A,1150.0,30.45,38.671,44837192,SHLF11583491,10,0.15,6,14,10,12,No-Filter,339216,7,945,21939,522,2971,75932,-4476,4670,1201790,2167,379,784,21273,53166,XRF2,1,2022-09-15,12:25:07,YEON,2022-09-26 20:59:18,
390,U1559,C,4,H,5,A,1200.0,30.5,38.721000000000004,44837192,SHLF11583491,10,0.15,6,14,10,12,No-Filter,341000,-29,825,19578,639,2888,72854,-4233,2235,1230364,1477,637,1349,15439,53437,XRF2,1,2022-09-15,12:25:31,YEON,2022-09-26 20:59:18,
390,U1559,C,4,H,5,A,1250.0,30.55,38.771,44837192,SHLF11583491,10,0.15,6,14,10,12,No-Filter,342172,-48,822,19656,527,2553,70983,-3410,2269,1236997,1390,735,1329,14937,53582,XRF2,1,2022-09-15,12:25:55,YEON,2022-09-26 20:59:18,
390,U1559,C,4,H,5,A,1300.0,30.6,38.821,44837192,SHLF11583491,10,0.15,6,13,10,12,No-Filter,304741,-65,692,17455,338,3197,84881,-4119,1854,1050178,1216,404,944,13183,53358,XRF2,1,2022-09-15,12:26:19,YEON,2022-09-26 20:59:18,
390,U1559,C,4,H,5,A,1350.0,30.650000000000002,38.871,44837192,SHLF11583491,10,0.15,6,13,10,12,No-Filter,329237,-54,740,18685,562,3197,82139,-5000,2190,1159097,1569,875,1149,14683,55060,XRF2,1,2022-09-15,12:26:42,YEON,2022-09-26 20:59:18,
390,U1559,C,4,H,5,A,1400.0,30.7,38.921,44837192,SHLF11583491,10,0.15,6,13,10,12,No-Filter,326929,9,735,19722,479,3057,74740,-4252,2339,1163565,1492,395,1111,15336,52678,XRF2,1,2022-09-15,12:27:05,YEON,2022-09-26 20:59:18,
390,U1559,C,4,H,5,A,1450.0,30.75,38.971000000000004,44837192,SHLF11583491,10,0.15,6,13,10,12,No-Filter,325596,-33,724,18912,682,2532,61815,-2779,1603,1189805,1495,455,1499,13380,51121,XRF2,1,2022-09-15,12:27:29,YEON,2022-09-26 20:59:18,
390,U1559,C,4,H,5,A,1500.0,30.8,39.021,44837192,SHLF11583491,10,0.15,6,9,10,12,No-Filter,175543,-78,414,17124,326,1224,32443,2623,636,526609,8920,528,785,6469,40380,XRF2,1,2022-09-15,12:27:53,YEON,2022-09-26 20:59:18,
390,U1559,C,4,H,6,A,50.0,30.85,39.071,44837202,SHLF11583521,10,0.15,6,14,10,12,No-Filter,332261,-56,661,18147,535,2844,74682,-3695,1295,1194579,1306,696,1245,13797,52340,XRF2,1,2022-09-15,13:00:10,YEON,2022-09-26 20:59:23,
390,U1559,C,4,H,6,A,100.0,30.900000000000002,39.121,44837202,SHLF11583521,10,0.15,6,14,10,12,No-Filter,350190,-25,696,18143,553,2728,74463,-4076,1523,1272805,1332,560,1854,12886,53971,XRF2,1,2022-09-15,13:00:34,YEON,2022-09-26 20:59:23,
390,U1559,C,4,H,6,A,150.0,30.95,39.171,44837202,SHLF11583521,10,0.15,6,14,10,12,No-Filter,339603,-52,553,18296,466,2869,74927,-3720,1926,1226719,1206,277,1285,12260,54321,XRF2,1,2022-09-15,13:00:58,YEON,2022-09-26 20:59:23,
390,U1559,C,4,H,6,A,200.0,31.0,39.221000000000004,44837202,SHLF11583521,10,0.15,6,14,10,12,No-Filter,343629,16,682,18594,604,3245,81662,-4552,2181,1223994,1426,774,1744,14493,55734,XRF2,1,2022-09-15,13:01:23,YEON,2022-09-26 20:59:23,
390,U1559,C,4,H,6,A,250.0,31.05,39.271,44837202,SHLF11583521,10,0.15,6,15,10,12,No-Filter,365025,-47,722,18963,582,2901,71892,-4441,1989,1340509,1405,815,1501,14957,54697,XRF2,1,2022-09-15,13:01:47,YEON,2022-09-26 20:59:23,
390,U1559,C,4,H,6,A,300.0,31.1,39.321,44837202,SHLF11583521,10,0.15,6,15,10,12,No-Filter,374287,0,857,19508,605,3054,72710,-4675,1929,1376238,1546,536,1598,15153,56145,XRF2,1,2022-09-15,13:02:11,YEON,2022-09-26 20:59:23,
390,U1559,C,4,H,6,A,350.0,31.150000000000002,39.371,44837202,SHLF11583521,10,0.15,6,15,10,12,No-Filter,379111,-6,903,20266,637,2440,63889,-4196,1839,1413023,1390,664,1596,15578,54934,XRF2,1,2022-09-15,13:02:36,YEON,2022-09-26 20:59:23,
390,U1559,C,4,H,6,A,400.0,31.2,39.421,44837202,SHLF11583521,10,0.15,6,15,10,12,No-Filter,363023,-68,813,19463,480,2578,67179,-4082,2163,1341301,1171,568,1006,14898,54315,XRF2,1,2022-09-15,13:03:01,YEON,2022-09-26 20:59:23,
390,U1559,C,4,H,6,A,450.0,31.25,39.471000000000004,44837202,SHLF11583521,10,0.15,6,14,10,12,No-Filter,353801,-49,776,19174,523,2395,64506,-3577,1933,1307435,1326,868,1234,14687,53058,XRF2,1,2022-09-15,13:03:25,YEON,2022-09-26 20:59:23,
390,U1559,C,4,H,6,A,500.0,31.3,39.521,44837202,SHLF11583521,10,0.15,6,14,10,12,No-Filter,359439,-75,623,17815,688,2650,65830,-3475,712,1336306,817,205,1513,10269,53820,XRF2,1,2022-09-15,13:03:50,YEON,2022-09-26 20:59:23,
390,U1559,C,4,H,6,A,550.0,31.35,39.571,44837202,SHLF11583521,10,0.15,6,13,10,12,No-Filter,315274,-17,604,17189,633,2945,76020,-3181,1182,1121516,1321,883,1238,10135,53237,XRF2,1,2022-09-15,13:04:14,YEON,2022-09-26 20:59:23,
390,U1559,C,4,H,6,A,600.0,31.400000000000002,39.621,44837202,SHLF11583521,10,0.15,6,14,10,12,No-Filter,342029,-60,665,17544,536,2694,67642,-3143,1116,1258257,1138,386,1299,10748,52538,XRF2,1,2022-09-15,13:04:38,YEON,2022-09-26 20:59:23,
390,U1559,C,4,H,6,A,650.0,31.45,39.671,44837202,SHLF11583521,10,0.15,6,15,10,12,No-Filter,377458,-78,724,18192,857,2378,58845,-3470,791,1428901,1236,451,1355,11155,53515,XRF2,1,2022-09-15,13:05:02,YEON,2022-09-26 20:59:23,
390,U1559,C,4,H,6,A,700.0,31.5,39.721000000000004,44837202,SHLF11583521,10,0.15,6,15,10,12,No-Filter,383286,-67,645,18309,525,2227,62695,-3902,1263,1446602,1027,322,1359,11094,54161,XRF2,1,2022-09-15,13:05:27,YEON,2022-09-26 20:59:23,
390,U1559,C,4,H,6,A,750.0,31.55,39.771,44837202,SHLF11583521,10,0.15,6,15,10,12,No-Filter,361112,-25,668,17994,697,2532,66751,-3818,969,1343697,1042,508,1340,11070,53718,XRF2,1,2022-09-15,13:05:52,YEON,2022-09-26 20:59:23,
390,U1559,C,4,H,6,A,800.0,31.6,39.821,44837202,SHLF11583521,10,0.15,6,14,10,12,No-Filter,354727,-75,620,17758,571,2862,68791,-3252,885,1313465,1166,353,1376,10257,52925,XRF2,1,2022-09-15,13:06:16,YEON,2022-09-26 20:59:23,
390,U1559,C,4,H,6,A,850.0,31.650000000000002,39.871,44837202,SHLF11583521,10,0.15,6,14,10,12,No-Filter,343451,-38,762,17209,487,2874,73523,-3631,914,1252692,925,762,1483,10261,53968,XRF2,1,2022-09-15,13:06:40,YEON,2022-09-26 20:59:23,
390,U1559,C,4,H,6,A,900.0,31.7,39.921,44837202,SHLF11583521,10,0.15,6,15,10,12,No-Filter,383822,-79,663,17850,689,2346,67549,-3367,644,1439093,1042,618,1442,11652,55338,XRF2,1,2022-09-15,13:07:05,YEON,2022-09-26 20:59:23,
390,U1559,C,4,H,6,A,950.0,31.75,39.971000000000004,44837202,SHLF11583521,10,0.15,6,14,10,12,No-Filter,358191,-53,594,17252,562,3043,75650,-3634,1007,1314178,1200,695,1694,11090,54537,XRF2,1,2022-09-15,13:07:29,YEON,2022-09-26 20:59:23,
390,U1559,C,4,H,6,A,1000.0,31.8,40.021,44837202,SHLF11583521,10,0.15,6,15,10,12,No-Filter,367398,-36,653,17784,510,2629,71189,-3870,827,1362271,1020,588,1712,10814,54589,XRF2,1,2022-09-15,13:07:54,YEON,2022-09-26 20:59:23,
390,U1559,C,4,H,6,A,1050.0,31.85,40.071,44837202,SHLF11583521,10,0.15,6,15,10,12,No-Filter,383877,17,677,18197,605,2376,63756,-4041,913,1445568,992,470,1505,10830,54909,XRF2,1,2022-09-15,13:08:18,YEON,2022-09-26 20:59:23,
390,U1559,D,4,H,4,A,750.0,29.86,40.129,44837352,SHLF11587981,10,0.15,6,15,10,12,No-Filter,381028,-42,1272,23382,624,2414,65976,-4887,4531,1401914,2062,714,1799,19639,54907,XRF2,1,2022-09-15,13:43:38,YEON,2022-09-26 21:00:17,
390,U1559,D,4,H,4,A,800.0,29.91,40.178999999999995,44837352,SHLF11587981,10,0.15,6,16,10,12,No-Filter,388709,-65,671,18569,539,2906,74185,-4649,1613,1443198,1366,454,1577,12083,56218,XRF2,1,2022-09-15,13:44:03,YEON,2022-09-26 21:00:17,
390,U1559,D,4,H,4,A,850.0,29.96,40.229,44837352,SHLF11587981,10,0.15,6,13,10,12,No-Filter,305870,3,467,15576,376,4023,110950,-4702,1518,1015675,910,696,1311,9039,57018,XRF2,1,2022-09-15,13:44:28,YEON,2022-09-26 21:00:17,
390,U1559,D,4,H,4,A,900.0,30.009999999999998,40.278999999999996,44837352,SHLF11587981,10,0.15,6,14,10,12,No-Filter,338696,-56,499,16013,424,3939,102161,-4653,935,1179039,875,446,1473,9710,57455,XRF2,1,2022-09-15,13:44:51,YEON,2022-09-26 21:00:17,
390,U1559,D,4,H,4,A,950.0,30.06,40.329,44837352,SHLF11587981,10,0.15,6,14,10,12,No-Filter,360203,-71,653,16914,439,3546,91246,-4989,1213,1295232,968,602,1543,9972,56757,XRF2,1,2022-09-15,13:45:15,YEON,2022-09-26 21:00:17,
390,U1559,D,4,H,4,A,1000.0,30.11,40.379,44837352,SHLF11587981,10,0.15,6,15,10,12,No-Filter,360971,-74,653,17230,724,3447,86894,-4601,1490,1301100,1113,714,1574,10031,56905,XRF2,1,2022-09-15,13:45:40,YEON,2022-09-26 21:00:17,
390,U1559,D,4,H,4,A,1050.0,30.16,40.428999999999995,44837352,SHLF11587981,10,0.15,6,16,10,12,No-Filter,405105,-73,824,18267,509,2555,67984,-4127,1552,1527201,1185,696,1801,10156,56149,XRF2,1,2022-09-15,13:46:04,YEON,2022-09-26 21:00:17,
390,U1559,D,4,H,4,A,1100.0,30.21,40.479,44837352,SHLF11587981,10,0.15,6,16,10,12,No-Filter,408178,-37,741,18740,558,2446,62601,-4154,1067,1549363,1094,637,1843,11493,55950,XRF2,1,2022-09-15,13:46:30,YEON,2022-09-26 21:00:17,
390,U1559,D,4,H,4,A,1150.0,30.259999999999998,40.528999999999996,44837352,SHLF11587981,10,0.15,6,17,10,12,No-Filter,415253,-63,717,18806,699,2611,65709,-4423,1046,1573601,1048,560,1854,12289,55930,XRF2,1,2022-09-15,13:46:56,YEON,2022-09-26 21:00:17,
390,U1559,D,4,H,4,A,1200.0,30.31,40.579,44837352,SHLF11587981,10,0.15,6,16,10,12,No-Filter,410764,-42,762,18139,543,2480,73678,-4972,1356,1538322,1002,533,2085,13278,56497,XRF2,1,2022-09-15,13:47:22,YEON,2022-09-26 21:00:17,
390,U1559,D,4,H,4,A,1250.0,30.36,40.629,44837352,SHLF11587981,10,0.15,6,15,10,12,No-Filter,377917,23,704,16642,532,3479,90891,-4739,1167,1373965,1064,848,1749,9085,55712,XRF2,1,2022-09-15,13:47:48,YEON,2022-09-26 21:00:17,
390,U1559,D,4,H,4,A,1300.0,30.41,40.678999999999995,44837352,SHLF11587981,10,0.15,6,13,10,12,No-Filter,312645,-42,488,15544,412,3948,108866,-5270,1243,1046867,978,745,1783,9290,57564,XRF2,1,2022-09-15,13:48:13,YEON,2022-09-26 21:00:17,
390,U1559,D,4,H,4,A,1350.0,30.46,40.729,44837352,SHLF11587981,10,0.15,6,16,10,12,No-Filter,389858,-4,698,16703,411,3377,87671,-5042,793,1429749,849,463,2426,9340,57813,XRF2,1,2022-09-15,13:48:35,YEON,2022-09-26 21:00:17,
390,U1559,D,4,H,4,A,1400.0,30.509999999999998,40.778999999999996,44837352,SHLF11587981,10,0.15,6,17,10,12,No-Filter,416511,-21,679,17549,771,2795,69262,-4492,615,1577931,952,562,1887,11034,56543,XRF2,1,2022-09-15,13:49:01,YEON,2022-09-26 21:00:17,
390,U1559,D,4,H,4,A,1450.0,30.56,40.829,44837352,SHLF11587981,10,0.15,6,17,10,12,No-Filter,423273,-56,789,18975,630,2345,61929,-4835,1295,1613751,1401,665,1687,11699,56735,XRF2,1,2022-09-15,13:49:27,YEON,2022-09-26 21:00:17,
390,U1559,D,4,H,4,A,1500.0,30.61,40.879,44837352,SHLF11587981,10,0.15,6,10,10,12,No-Filter,190726,-45,440,16387,350,994,25332,7288,-203,673850,835,279,904,4777,37832,XRF2,1,2022-09-15,13:49:55,YEON,2022-09-26 21:00:17,
390,U1559,D,4,H,5,A,50.0,30.67,40.939,44837362,SHLF11588011,10,0.15,6,15,10,12,No-Filter,371229,-29,554,16649,457,2869,83676,-4522,469,1356972,966,730,1383,8587,57556,XRF2,1,2022-09-15,14:19:24,YEON,2022-09-26 21:00:20,
390,U1559,D,4,H,5,A,100.0,30.720000000000002,40.989000000000004,44837362,SHLF11588011,10,0.15,6,15,10,12,No-Filter,369119,-76,607,16166,612,3334,89022,-5027,638,1335830,1022,399,1803,8639,57352,XRF2,1,2022-09-15,14:19:49,YEON,2022-09-26 21:00:20,
390,U1559,D,4,H,5,A,150.0,30.77,41.039,44837362,SHLF11588011,10,0.15,6,14,10,12,No-Filter,343620,37,542,16517,556,3672,93480,-5295,895,1210376,935,490,1625,8662,57170,XRF2,1,2022-09-15,14:20:14,YEON,2022-09-26 21:00:20,
390,U1559,D,4,H,5,A,200.0,30.82,41.089000000000006,44837362,SHLF11588011,10,0.15,6,14,10,12,No-Filter,355779,-19,527,16708,557,3114,90025,-5013,826,1272098,972,581,1815,9169,57039,XRF2,1,2022-09-15,14:20:38,YEON,2022-09-26 21:00:20,
390,U1559,D,4,H,5,A,250.0,30.87,41.139,44837362,SHLF11588011,10,0.15,6,16,10,12,No-Filter,399639,-47,731,18349,680,2565,71318,-5234,942,1495831,891,785,2027,11620,56435,XRF2,1,2022-09-15,14:21:03,YEON,2022-09-26 21:00:20,
390,U1559,D,4,H,5,A,300.0,30.92,41.189,44837362,SHLF11588011,10,0.15,6,17,10,12,No-Filter,423707,-35,739,17927,790,2283,62937,-4463,706,1618984,1023,657,1912,10289,57362,XRF2,1,2022-09-15,14:21:28,YEON,2022-09-26 21:00:20,
390,U1559,D,4,H,5,A,350.0,30.970000000000002,41.239000000000004,44837362,SHLF11588011,10,0.15,6,16,10,12,No-Filter,411366,-17,730,18410,555,2548,66938,-4596,910,1558296,943,502,1835,10649,56496,XRF2,1,2022-09-15,14:21:56,YEON,2022-09-26 21:00:20,
390,U1559,D,4,H,5,A,400.0,31.02,41.289,44837362,SHLF11588011,10,0.15,6,16,10,12,No-Filter,405970,-39,726,18311,781,3186,75735,-5244,1579,1513731,1126,474,2117,12775,57345,XRF2,1,2022-09-15,14:22:22,YEON,2022-09-26 21:00:20,
390,U1559,D,4,H,5,A,450.0,31.07,41.339000000000006,44837362,SHLF11588011,10,0.15,6,15,10,12,No-Filter,367580,-30,668,17589,542,3303,84932,-5328,1257,1329893,1287,664,1807,10804,57012,XRF2,1,2022-09-15,14:22:48,YEON,2022-09-26 21:00:20,
390,U1559,D,4,H,5,A,500.0,31.12,41.389,44837362,SHLF11588011,10,0.15,6,14,10,12,No-Filter,357350,-67,606,16816,529,3625,90360,-4965,1238,1281035,1297,477,1167,9288,56718,XRF2,1,2022-09-15,14:23:13,YEON,2022-09-26 21:00:20,
390,U1559,D,4,H,5,A,550.0,31.17,41.439,44837362,SHLF11588011,10,0.15,6,16,10,12,No-Filter,389327,-61,743,18128,554,2954,75706,-4822,1391,1442675,1248,507,1413,11951,57414,XRF2,1,2022-09-15,14:23:37,YEON,2022-09-26 21:00:20,
390,U1559,D,4,H,5,A,580.0,31.2,41.469,44837362,SHLF11588011,10,0.15,6,15,10,12,No-Filter,363793,-31,1264,26038,647,2569,63651,-4407,6178,1320764,2295,555,1441,23544,53582,XRF2,1,2022-09-15,14:24:03,YEON,2022-09-26 21:00:20,
390,U1559,D,4,H,5,A,600.0,31.220000000000002,41.489000000000004,44837362,SHLF11588011,10,0.15,6,16,10,12,No-Filter,395018,-55,1146,24518,638,2402,59899,-4527,4533,1472574,2126,782,1654,19874,55328,XRF2,1,2022-09-15,14:24:26,YEON,2022-09-26 21:00:20,
390,U1559,D,4,H,5,A,650.0,31.27,41.539,44837362,SHLF11588011,10,0.15,6,16,10,12,No-Filter,409396,-3,807,18782,800,2617,64773,-4247,1197,1550201,1216,416,1682,11578,56457,XRF2,1,2022-09-15,14:24:51,YEON,2022-09-26 21:00:20,
390,U1559,D,4,H,5,A,700.0,31.32,41.589000000000006,44837362,SHLF11588011,10,0.15,6,17,10,12,No-Filter,418149,-74,865,18764,595,2504,64828,-4787,973,1586747,1132,988,1530,11797,57176,XRF2,1,2022-09-15,14:25:17,YEON,2022-09-26 21:00:20,
390,U1559,D,4,H,5,A,750.0,31.37,41.639,44837362,SHLF11588011,10,0.15,6,17,10,12,No-Filter,418257,-46,803,19192,593,2331,62819,-5099,1070,1590261,1167,417,2055,10638,56656,XRF2,1,2022-09-15,14:25:45,YEON,2022-09-26 21:00:20,
390,U1559,D,4,H,5,A,800.0,31.42,41.689,44837362,SHLF11588011,10,0.15,6,16,10,12,No-Filter,400277,-36,670,17755,446,2565,72410,-4747,1103,1499056,860,511,1751,11353,56297,XRF2,1,2022-09-15,14:26:13,YEON,2022-09-26 21:00:20,
390,U1559,D,4,H,5,A,850.0,31.470000000000002,41.739000000000004,44837362,SHLF11588011,10,0.15,6,15,10,12,No-Filter,370402,-19,710,17968,562,3434,86606,-4789,1426,1342708,1063,654,1669,10590,57243,XRF2,1,2022-09-15,14:26:39,YEON,2022-09-26 21:00:20,
390C,U1559,A,5,X,1,A,850.0,32.85,41.797000000000004,44837512,SHLF10888151,10,0.15,6,14,10,12,No-Filter,352740,-73,640,17629,543,2618,69454,-3645,1163,1299888,1296,824,1627,11813,53571,XRF2,1,2022-09-15,15:14:12,YEON,2022-09-26 21:01:01,
390C,U1559,A,5,X,1,A,885.0,32.885,41.832,44837512,SHLF10888151,10,0.15,6,14,10,12,No-Filter,345915,-75,616,17072,356,2472,68754,-3635,780,1275919,1006,566,1743,6581,53994,XRF2,1,2022-09-15,15:14:37,YEON,2022-09-26 21:01:01,
390C,U1559,A,5,X,1,A,900.0,32.9,41.847,44837512,SHLF10888151,10,0.15,6,14,10,12,No-Filter,333548,-48,620,17004,622,2932,77140,-3183,955,1202801,1079,513,1189,10692,54050,XRF2,1,2022-09-15,15:15:00,YEON,2022-09-26 21:01:01,
390C,U1559,A,5,X,1,A,950.0,32.95,41.897000000000006,44837512,SHLF10888151,10,0.15,6,13,10,12,No-Filter,316307,-19,583,16456,556,3201,84034,-3391,983,1112581,789,534,926,9141,54164,XRF2,1,2022-09-15,15:15:24,YEON,2022-09-26 21:01:01,
390C,U1559,A,5,X,1,A,1000.0,33.0,41.947,44837512,SHLF10888151,10,0.15,6,13,10,12,No-Filter,313079,-15,574,16196,374,2736,80026,-3327,481,1107032,788,398,951,7044,54583,XRF2,1,2022-09-15,15:15:47,YEON,2022-09-26 21:01:01,
390C,U1559,A,5,X,1,A,1050.0,33.05,41.997,44837512,SHLF10888151,10,0.15,6,14,10,12,No-Filter,330769,-27,596,16244,435,2780,75463,-3137,427,1199308,969,495,1325,9729,52994,XRF2,1,2022-09-15,15:16:10,YEON,2022-09-26 21:01:01,
390C,U1559,A,5,X,1,A,1100.0,33.1,42.047000000000004,44837512,SHLF10888151,10,0.15,6,14,10,12,No-Filter,344177,-68,615,17099,666,2642,71382,-2953,867,1262081,986,381,993,11005,53523,XRF2,1,2022-09-15,15:16:34,YEON,2022-09-26 21:01:01,
390C,U1559,A,5,X,1,A,1150.0,33.15,42.097,44837512,SHLF10888151,10,0.15,6,14,10,12,No-Filter,339012,-22,607,17331,843,2641,72254,-3388,980,1237181,511,415,1617,10393,53138,XRF2,1,2022-09-15,15:16:58,YEON,2022-09-26 21:01:01,
390C,U1559,A,5,X,1,A,1200.0,33.2,42.147000000000006,44837512,SHLF10888151,10,0.15,6,13,10,12,No-Filter,315948,-53,510,17104,516,2639,74522,-2988,945,1129929,934,688,1529,10035,52548,XRF2,1,2022-09-15,15:17:23,YEON,2022-09-26 21:01:01,
390C,U1559,A,5,X,1,A,1250.0,33.25,42.197,44837512,SHLF10888151,10,0.15,6,12,10,12,No-Filter,295871,-12,568,17355,609,3021,78029,-3326,1408,1028977,1086,859,1593,8926,52189,XRF2,1,2022-09-15,15:17:45,YEON,2022-09-26 21:01:01,
390C,U1559,A,5,X,1,A,1300.0,33.3,42.247,44837512,SHLF10888151,10,0.15,6,13,10,12,No-Filter,299575,-31,657,18131,451,3156,85149,-3902,2079,1023997,1344,501,1387,11454,53899,XRF2,1,2022-09-15,15:18:08,YEON,2022-09-26 21:01:01,
390C,U1559,A,5,X,1,A,1350.0,33.35,42.297000000000004,44837512,SHLF10888151,10,0.15,6,15,10,12,No-Filter,370304,-60,712,18323,542,2723,68498,-4330,1424,1378002,1323,620,1090,10050,55108,XRF2,1,2022-09-15,15:18:30,YEON,2022-09-26 21:01:01,
390C,U1559,A,5,X,1,A,1400.0,33.4,42.347,44837512,SHLF10888151,10,0.15,6,13,10,12,No-Filter,303937,-80,565,16947,541,2589,73436,-2133,999,1083618,1032,871,1332,7691,50955,XRF2,1,2022-09-15,15:18:55,YEON,2022-09-26 21:01:01,
390C,U1559,A,5,X,1,A,1450.0,33.45,42.397000000000006,44837512,SHLF10888151,10,0.15,6,13,10,12,No-Filter,299932,49,501,16658,488,2782,68427,-1858,398,1075203,948,480,1579,7151,49978,XRF2,1,2022-09-15,15:19:18,YEON,2022-09-26 21:01:01,
390C,U1559,A,5,X,1,A,1500.0,33.5,42.447,44837512,SHLF10888151,10,0.15,6,11,10,12,No-Filter,239467,-32,542,16961,511,1456,38499,819,262,819040,1015,395,995,5475,45365,XRF2,1,2022-09-15,15:19:40,YEON,2022-09-26 21:01:01,
390C,U1559,A,5,X,2,A,50.0,33.55,42.497,44837522,SHLF10888181,10,0.15,6,14,10,12,No-Filter,340901,-78,593,16719,564,2614,74219,-3194,635,1246694,977,465,1449,8130,54721,XRF2,1,2022-09-15,15:53:12,YEON,2022-09-26 21:01:03,
390C,U1559,A,5,X,2,A,100.0,33.6,42.547000000000004,44837522,SHLF10888181,10,0.15,6,13,10,12,No-Filter,328831,-69,523,16616,566,2536,73217,-2950,677,1187079,649,676,1444,7908,55530,XRF2,1,2022-09-15,15:53:37,YEON,2022-09-26 21:01:03,
390C,U1559,A,5,X,2,A,150.0,33.65,42.597,44837522,SHLF10888181,10,0.15,6,14,10,12,No-Filter,339020,-75,608,17643,426,2665,77648,-3738,1125,1220793,1103,663,1518,9265,55866,XRF2,1,2022-09-15,15:54:01,YEON,2022-09-26 21:01:03,
390C,U1559,A,5,X,2,A,200.0,33.7,42.647000000000006,44837522,SHLF10888181,10,0.15,6,16,10,12,No-Filter,392675,-41,805,19270,792,2526,61770,-3808,1862,1483383,1179,371,1835,11620,55018,XRF2,1,2022-09-15,15:54:25,YEON,2022-09-26 21:01:03,
390C,U1559,A,5,X,2,A,250.0,33.75,42.697,44837522,SHLF10888181,10,0.15,6,14,10,12,No-Filter,356872,-68,869,21697,570,2159,60195,-3556,3149,1324726,1524,412,1425,14188,52725,XRF2,1,2022-09-15,15:54:51,YEON,2022-09-26 21:01:03,
390C,U1559,A,5,X,2,A,300.0,33.8,42.747,44837522,SHLF10888181,10,0.15,6,16,10,12,No-Filter,401211,-37,850,19266,673,2282,60315,-4393,1464,1520501,1265,670,1555,12770,55788,XRF2,1,2022-09-15,15:55:16,YEON,2022-09-26 21:01:03,
390C,U1559,A,5,X,2,A,350.0,33.85,42.797000000000004,44837522,SHLF10888181,10,0.15,6,16,10,12,No-Filter,397122,-10,704,18766,545,2019,60022,-3849,1073,1507105,1119,700,1389,10889,55840,XRF2,1,2022-09-15,15:55:42,YEON,2022-09-26 21:01:03,
390C,U1559,A,5,X,2,A,400.0,33.9,42.847,44837522,SHLF10888181,10,0.15,6,16,10,12,No-Filter,396397,-46,744,18084,529,2474,64701,-3855,636,1501387,910,484,1518,10116,56494,XRF2,1,2022-09-15,15:56:07,YEON,2022-09-26 21:01:03,
390C,U1559,A,5,X,2,A,450.0,33.95,42.897000000000006,44837522,SHLF10888181,10,0.15,6,15,10,12,No-Filter,362657,-75,621,17299,604,2764,70814,-3224,713,1344911,1128,456,1951,9966,55574,XRF2,1,2022-09-15,15:56:33,YEON,2022-09-26 21:01:03,
390C,U1559,A,5,X,2,A,500.0,34.0,42.947,44837522,SHLF10888181,10,0.15,6,15,10,12,No-Filter,361570,-73,705,17365,698,2744,74432,-3680,1073,1332317,872,573,1410,9465,56228,XRF2,1,2022-09-15,15:56:57,YEON,2022-09-26 21:01:03,
390C,U1559,A,5,X,2,A,550.0,34.05,42.997,44837522,SHLF10888181,10,0.15,6,14,10,12,No-Filter,354895,-54,545,17056,663,2723,71621,-3633,765,1309591,1000,574,1520,8760,55509,XRF2,1,2022-09-15,15:57:22,YEON,2022-09-26 21:01:03,
390C,U1559,A,5,X,2,A,600.0,34.1,43.047000000000004,44837522,SHLF10888181,10,0.15,6,15,10,12,No-Filter,365018,-27,618,17526,530,2472,66215,-3127,603,1363835,885,626,1494,8800,55188,XRF2,1,2022-09-15,15:57:47,YEON,2022-09-26 21:01:03,
390C,U1559,A,5,X,2,A,650.0,34.15,43.097,44837522,SHLF10888181,10,0.15,6,15,10,12,No-Filter,378172,-76,776,18537,684,2231,59683,-3236,1114,1429291,1357,726,1669,10712,54276,XRF2,1,2022-09-15,15:58:11,YEON,2022-09-26 21:01:03,
