"Exp","Site","Hole","Core","Type","Sect","A/W","Offset (cm)","Depth CSF-A (m)","Depth CCSF-390-U1557-AB-20220529-Shipboard2 (m)","Magnetic susceptibility (instr. units)","Timestamp (UTC)","Instrument","Instrument group","Text ID","Test No.","Sample comments","Test comments","Result comments"
"390C","U1557","A","1","H","5","","3.2","6.042","10.142","74.15","2020-11-02 03:03:16","MS3-V0.0.0.0-0656","WRMSL","SECT10854271","118808381","MISSED MUDLINE","",""
"390C","U1557","A","1","H","5","","5.7","6.067","10.167","75.29","2020-11-02 03:03:16","MS3-V0.0.0.0-0656","WRMSL","SECT10854271","118808381","MISSED MUDLINE","",""
"390C","U1557","A","1","H","5","","8.2","6.092","10.192","75.82","2020-11-02 03:03:16","MS3-V0.0.0.0-0656","WRMSL","SECT10854271","118808381","MISSED MUDLINE","",""
"390C","U1557","A","1","H","5","","10.7","6.117","10.217","75.41","2020-11-02 03:03:16","MS3-V0.0.0.0-0656","WRMSL","SECT10854271","118808381","MISSED MUDLINE","",""
"390C","U1557","A","1","H","5","","13.2","6.142","10.242","75.55","2020-11-02 03:03:16","MS3-V0.0.0.0-0656","WRMSL","SECT10854271","118808381","MISSED MUDLINE","",""
"390C","U1557","A","1","H","5","","15.7","6.167","10.267","72.55","2020-11-02 03:03:16","MS3-V0.0.0.0-0656","WRMSL","SECT10854271","118808381","MISSED MUDLINE","",""
"390C","U1557","A","1","H","5","","18.2","6.192","10.292","68.83","2020-11-02 03:03:16","MS3-V0.0.0.0-0656","WRMSL","SECT10854271","118808381","MISSED MUDLINE","",""
"390C","U1557","A","1","H","5","","20.7","6.217","10.317","68.76","2020-11-02 03:03:16","MS3-V0.0.0.0-0656","WRMSL","SECT10854271","118808381","MISSED MUDLINE","",""
"390C","U1557","A","1","H","5","","23.2","6.242","10.342","74.67","2020-11-02 03:03:16","MS3-V0.0.0.0-0656","WRMSL","SECT10854271","118808381","MISSED MUDLINE","",""
"390C","U1557","A","1","H","5","","25.7","6.267","10.367","83.67","2020-11-02 03:03:16","MS3-V0.0.0.0-0656","WRMSL","SECT10854271","118808381","MISSED MUDLINE","",""
"390C","U1557","A","1","H","5","","28.2","6.292","10.392","92.53","2020-11-02 03:03:16","MS3-V0.0.0.0-0656","WRMSL","SECT10854271","118808381","MISSED MUDLINE","",""
"390C","U1557","A","1","H","5","","30.7","6.317","10.417","96.42","2020-11-02 03:03:16","MS3-V0.0.0.0-0656","WRMSL","SECT10854271","118808381","MISSED MUDLINE","",""
"390C","U1557","A","1","H","5","","33.2","6.342","10.442","94.54","2020-11-02 03:03:16","MS3-V0.0.0.0-0656","WRMSL","SECT10854271","118808381","MISSED MUDLINE","",""
"390C","U1557","A","1","H","5","","35.7","6.367","10.467","89.73","2020-11-02 03:03:16","MS3-V0.0.0.0-0656","WRMSL","SECT10854271","118808381","MISSED MUDLINE","",""
"390C","U1557","A","1","H","5","","38.2","6.392","10.492","85.74","2020-11-02 03:03:16","MS3-V0.0.0.0-0656","WRMSL","SECT10854271","118808381","MISSED MUDLINE","",""
"390C","U1557","A","1","H","5","","40.7","6.417","10.517","82.93","2020-11-02 03:03:16","MS3-V0.0.0.0-0656","WRMSL","SECT10854271","118808381","MISSED MUDLINE","",""
"390C","U1557","A","1","H","5","","43.2","6.442","10.542","81.83","2020-11-02 03:03:16","MS3-V0.0.0.0-0656","WRMSL","SECT10854271","118808381","MISSED MUDLINE","",""
"390C","U1557","A","1","H","5","","45.7","6.467","10.567","81.82","2020-11-02 03:03:16","MS3-V0.0.0.0-0656","WRMSL","SECT10854271","118808381","MISSED MUDLINE","",""
"390C","U1557","A","1","H","5","","48.2","6.492","10.592","81.84","2020-11-02 03:03:16","MS3-V0.0.0.0-0656","WRMSL","SECT10854271","118808381","MISSED MUDLINE","",""
"390C","U1557","A","1","H","5","","50.7","6.517","10.617","81.58","2020-11-02 03:03:16","MS3-V0.0.0.0-0656","WRMSL","SECT10854271","118808381","MISSED MUDLINE","",""
"390C","U1557","A","1","H","5","","53.2","6.542","10.642","80.53","2020-11-02 03:03:16","MS3-V0.0.0.0-0656","WRMSL","SECT10854271","118808381","MISSED MUDLINE","",""
"390C","U1557","A","1","H","5","","55.7","6.567","10.667","79.53","2020-11-02 03:03:16","MS3-V0.0.0.0-0656","WRMSL","SECT10854271","118808381","MISSED MUDLINE","",""
"390C","U1557","A","1","H","5","","58.2","6.592","10.692","76.85","2020-11-02 03:03:16","MS3-V0.0.0.0-0656","WRMSL","SECT10854271","118808381","MISSED MUDLINE","",""
"390C","U1557","A","1","H","5","","60.7","6.617","10.717","69.25","2020-11-02 03:03:16","MS3-V0.0.0.0-0656","WRMSL","SECT10854271","118808381","MISSED MUDLINE","",""
"390C","U1557","A","1","H","5","","63.2","6.642","10.742","59.44","2020-11-02 03:03:16","MS3-V0.0.0.0-0656","WRMSL","SECT10854271","118808381","MISSED MUDLINE","",""
"390C","U1557","A","1","H","5","","65.7","6.667","10.767","55.37","2020-11-02 03:03:16","MS3-V0.0.0.0-0656","WRMSL","SECT10854271","118808381","MISSED MUDLINE","",""
"390C","U1557","B","2","H","2","","72.7","6.327","10.787","52.64","2020-11-02 05:23:40","MS3-V0.0.0.0-0656","WRMSL","SECT10854731","118808881","","",""
"390C","U1557","B","2","H","2","","75.2","6.352","10.812","48.22","2020-11-02 05:23:40","MS3-V0.0.0.0-0656","WRMSL","SECT10854731","118808881","","",""
"390C","U1557","B","2","H","2","","77.7","6.377","10.837","45.20","2020-11-02 05:23:40","MS3-V0.0.0.0-0656","WRMSL","SECT10854731","118808881","","",""
"390C","U1557","B","2","H","2","","80.2","6.402","10.862","42.50","2020-11-02 05:23:40","MS3-V0.0.0.0-0656","WRMSL","SECT10854731","118808881","","",""
"390C","U1557","B","2","H","2","","82.7","6.427","10.887","41.05","2020-11-02 05:23:40","MS3-V0.0.0.0-0656","WRMSL","SECT10854731","118808881","","",""
"390C","U1557","B","2","H","2","","85.2","6.452","10.912","43.89","2020-11-02 05:23:40","MS3-V0.0.0.0-0656","WRMSL","SECT10854731","118808881","","",""
"390C","U1557","B","2","H","2","","87.7","6.477","10.937","50.37","2020-11-02 05:23:40","MS3-V0.0.0.0-0656","WRMSL","SECT10854731","118808881","","",""
"390C","U1557","B","2","H","2","","90.2","6.502","10.962","52.96","2020-11-02 05:23:40","MS3-V0.0.0.0-0656","WRMSL","SECT10854731","118808881","","",""
"390C","U1557","B","2","H","2","","92.7","6.527","10.987","53.37","2020-11-02 05:23:40","MS3-V0.0.0.0-0656","WRMSL","SECT10854731","118808881","","",""
"390C","U1557","B","2","H","2","","95.2","6.552","11.012","54.04","2020-11-02 05:23:40","MS3-V0.0.0.0-0656","WRMSL","SECT10854731","118808881","","",""
"390C","U1557","B","2","H","2","","97.7","6.577","11.037","54.04","2020-11-02 05:23:40","MS3-V0.0.0.0-0656","WRMSL","SECT10854731","118808881","","",""
"390C","U1557","B","2","H","2","","100.2","6.602","11.062","55.43","2020-11-02 05:23:40","MS3-V0.0.0.0-0656","WRMSL","SECT10854731","118808881","","",""
"390C","U1557","B","2","H","2","","102.7","6.627","11.087","61.60","2020-11-02 05:23:40","MS3-V0.0.0.0-0656","WRMSL","SECT10854731","118808881","","",""
"390C","U1557","B","2","H","2","","105.2","6.652","11.112","70.02","2020-11-02 05:23:40","MS3-V0.0.0.0-0656","WRMSL","SECT10854731","118808881","","",""
"390C","U1557","B","2","H","2","","107.7","6.677","11.137","79.04","2020-11-02 05:23:40","MS3-V0.0.0.0-0656","WRMSL","SECT10854731","118808881","","",""
"390C","U1557","B","2","H","2","","110.2","6.702","11.162","87.52","2020-11-02 05:23:40","MS3-V0.0.0.0-0656","WRMSL","SECT10854731","118808881","","",""
"390C","U1557","B","2","H","2","","112.7","6.727","11.187","93.55","2020-11-02 05:23:40","MS3-V0.0.0.0-0656","WRMSL","SECT10854731","118808881","","",""
"390C","U1557","B","2","H","2","","115.2","6.752","11.212","95.44","2020-11-02 05:23:40","MS3-V0.0.0.0-0656","WRMSL","SECT10854731","118808881","","",""
"390C","U1557","B","2","H","2","","117.7","6.777","11.237","92.51","2020-11-02 05:23:40","MS3-V0.0.0.0-0656","WRMSL","SECT10854731","118808881","","",""
"390C","U1557","B","2","H","2","","120.2","6.802","11.262","87.39","2020-11-02 05:23:40","MS3-V0.0.0.0-0656","WRMSL","SECT10854731","118808881","","",""
"390C","U1557","B","2","H","2","","122.7","6.827","11.287","83.52","2020-11-02 05:23:40","MS3-V0.0.0.0-0656","WRMSL","SECT10854731","118808881","","",""
"390C","U1557","B","2","H","2","","125.2","6.852","11.312","81.50","2020-11-02 05:23:40","MS3-V0.0.0.0-0656","WRMSL","SECT10854731","118808881","","",""
"390C","U1557","B","2","H","2","","127.7","6.877","11.337","80.12","2020-11-02 05:23:40","MS3-V0.0.0.0-0656","WRMSL","SECT10854731","118808881","","",""
"390C","U1557","B","2","H","2","","130.2","6.902","11.362","80.37","2020-11-02 05:23:40","MS3-V0.0.0.0-0656","WRMSL","SECT10854731","118808881","","",""
"390C","U1557","B","2","H","2","","132.7","6.927","11.387","81.46","2020-11-02 05:23:40","MS3-V0.0.0.0-0656","WRMSL","SECT10854731","118808881","","",""
"390C","U1557","B","2","H","2","","135.2","6.952","11.412","82.31","2020-11-02 05:23:40","MS3-V0.0.0.0-0656","WRMSL","SECT10854731","118808881","","",""
"390C","U1557","B","2","H","2","","137.7","6.977","11.437","82.58","2020-11-02 05:23:40","MS3-V0.0.0.0-0656","WRMSL","SECT10854731","118808881","","",""
"390C","U1557","B","2","H","2","","140.2","7.002","11.462","83.10","2020-11-02 05:23:40","MS3-V0.0.0.0-0656","WRMSL","SECT10854731","118808881","","",""
"390C","U1557","B","2","H","2","","142.7","7.027","11.487","84.20","2020-11-02 05:23:40","MS3-V0.0.0.0-0656","WRMSL","SECT10854731","118808881","","",""
"390C","U1557","B","2","H","2","","145.2","7.052","11.512","85.47","2020-11-02 05:23:40","MS3-V0.0.0.0-0656","WRMSL","SECT10854731","118808881","","",""
"390C","U1557","B","2","H","3","","4.6","7.146","11.606","92.66","2020-11-02 05:31:55","MS3-V0.0.0.0-0656","WRMSL","SECT10854761","118808921","","",""
"390C","U1557","B","2","H","3","","7.1","7.171","11.631","97.32","2020-11-02 05:31:55","MS3-V0.0.0.0-0656","WRMSL","SECT10854761","118808921","","",""
"390C","U1557","B","2","H","3","","9.6","7.196","11.656","99.46","2020-11-02 05:31:55","MS3-V0.0.0.0-0656","WRMSL","SECT10854761","118808921","","",""
"390C","U1557","B","2","H","3","","12.1","7.221","11.681","99.10","2020-11-02 05:31:55","MS3-V0.0.0.0-0656","WRMSL","SECT10854761","118808921","","",""
"390C","U1557","B","2","H","3","","14.6","7.246","11.706","98.18","2020-11-02 05:31:55","MS3-V0.0.0.0-0656","WRMSL","SECT10854761","118808921","","",""
"390C","U1557","B","2","H","3","","17.1","7.271","11.731","96.41","2020-11-02 05:31:55","MS3-V0.0.0.0-0656","WRMSL","SECT10854761","118808921","","",""
"390C","U1557","B","2","H","3","","19.6","7.296","11.756","93.26","2020-11-02 05:31:55","MS3-V0.0.0.0-0656","WRMSL","SECT10854761","118808921","","",""
"390C","U1557","B","2","H","3","","22.1","7.321","11.781","89.77","2020-11-02 05:31:55","MS3-V0.0.0.0-0656","WRMSL","SECT10854761","118808921","","",""
"390C","U1557","B","2","H","3","","24.6","7.346","11.806","86.64","2020-11-02 05:31:55","MS3-V0.0.0.0-0656","WRMSL","SECT10854761","118808921","","",""
"390C","U1557","B","2","H","3","","27.1","7.371","11.831","84.23","2020-11-02 05:31:55","MS3-V0.0.0.0-0656","WRMSL","SECT10854761","118808921","","",""
"390C","U1557","B","2","H","3","","29.6","7.396","11.856","80.89","2020-11-02 05:31:55","MS3-V0.0.0.0-0656","WRMSL","SECT10854761","118808921","","",""
"390C","U1557","B","2","H","3","","32.1","7.421","11.881","77.24","2020-11-02 05:31:55","MS3-V0.0.0.0-0656","WRMSL","SECT10854761","118808921","","",""
"390C","U1557","B","2","H","3","","34.6","7.446","11.906","75.36","2020-11-02 05:31:55","MS3-V0.0.0.0-0656","WRMSL","SECT10854761","118808921","","",""
"390C","U1557","B","2","H","3","","37.1","7.471","11.931","76.18","2020-11-02 05:31:55","MS3-V0.0.0.0-0656","WRMSL","SECT10854761","118808921","","",""
"390C","U1557","B","2","H","3","","39.6","7.496","11.956","81.20","2020-11-02 05:31:55","MS3-V0.0.0.0-0656","WRMSL","SECT10854761","118808921","","",""
"390C","U1557","B","2","H","3","","42.1","7.521","11.981","86.48","2020-11-02 05:31:55","MS3-V0.0.0.0-0656","WRMSL","SECT10854761","118808921","","",""
"390C","U1557","B","2","H","3","","44.6","7.546","12.006","89.92","2020-11-02 05:31:55","MS3-V0.0.0.0-0656","WRMSL","SECT10854761","118808921","","",""
"390C","U1557","B","2","H","3","","47.1","7.571","12.031","90.65","2020-11-02 05:31:55","MS3-V0.0.0.0-0656","WRMSL","SECT10854761","118808921","","",""
"390C","U1557","B","2","H","3","","49.6","7.596","12.056","90.66","2020-11-02 05:31:55","MS3-V0.0.0.0-0656","WRMSL","SECT10854761","118808921","","",""
"390C","U1557","B","2","H","3","","52.1","7.621","12.081","90.32","2020-11-02 05:31:55","MS3-V0.0.0.0-0656","WRMSL","SECT10854761","118808921","","",""
"390C","U1557","B","2","H","3","","54.6","7.646","12.106","90.01","2020-11-02 05:31:55","MS3-V0.0.0.0-0656","WRMSL","SECT10854761","118808921","","",""
"390C","U1557","B","2","H","3","","57.1","7.671","12.131","89.98","2020-11-02 05:31:55","MS3-V0.0.0.0-0656","WRMSL","SECT10854761","118808921","","",""
"390C","U1557","B","2","H","3","","59.6","7.696","12.156","89.98","2020-11-02 05:31:55","MS3-V0.0.0.0-0656","WRMSL","SECT10854761","118808921","","",""
"390C","U1557","B","2","H","3","","62.1","7.721","12.181","88.12","2020-11-02 05:31:55","MS3-V0.0.0.0-0656","WRMSL","SECT10854761","118808921","","",""
"390C","U1557","B","2","H","3","","64.6","7.746","12.206","85.47","2020-11-02 05:31:55","MS3-V0.0.0.0-0656","WRMSL","SECT10854761","118808921","","",""
"390C","U1557","B","2","H","3","","67.1","7.771","12.231","87.09","2020-11-02 05:31:55","MS3-V0.0.0.0-0656","WRMSL","SECT10854761","118808921","","",""
"390C","U1557","B","2","H","3","","69.6","7.796","12.256","92.78","2020-11-02 05:31:55","MS3-V0.0.0.0-0656","WRMSL","SECT10854761","118808921","","",""
"390C","U1557","B","2","H","3","","72.1","7.821","12.281","98.32","2020-11-02 05:31:55","MS3-V0.0.0.0-0656","WRMSL","SECT10854761","118808921","","",""
"390C","U1557","B","2","H","3","","74.6","7.846","12.306","99.85","2020-11-02 05:31:55","MS3-V0.0.0.0-0656","WRMSL","SECT10854761","118808921","","",""
"390C","U1557","B","2","H","3","","77.1","7.871","12.331","96.85","2020-11-02 05:31:55","MS3-V0.0.0.0-0656","WRMSL","SECT10854761","118808921","","",""
"390C","U1557","B","2","H","3","","79.6","7.896","12.356","92.91","2020-11-02 05:31:55","MS3-V0.0.0.0-0656","WRMSL","SECT10854761","118808921","","",""
"390C","U1557","B","2","H","3","","82.1","7.921","12.381","88.97","2020-11-02 05:31:55","MS3-V0.0.0.0-0656","WRMSL","SECT10854761","118808921","","",""
"390C","U1557","B","2","H","3","","84.6","7.946","12.406","85.47","2020-11-02 05:31:55","MS3-V0.0.0.0-0656","WRMSL","SECT10854761","118808921","","",""
"390C","U1557","B","2","H","3","","87.1","7.971","12.431","83.68","2020-11-02 05:31:55","MS3-V0.0.0.0-0656","WRMSL","SECT10854761","118808921","","",""
"390C","U1557","B","2","H","3","","89.6","7.996","12.456","83.26","2020-11-02 05:31:55","MS3-V0.0.0.0-0656","WRMSL","SECT10854761","118808921","","",""
"390C","U1557","B","2","H","3","","92.1","8.021","12.481","81.43","2020-11-02 05:31:55","MS3-V0.0.0.0-0656","WRMSL","SECT10854761","118808921","","",""
"390C","U1557","B","2","H","3","","94.6","8.046","12.506","72.06","2020-11-02 05:31:55","MS3-V0.0.0.0-0656","WRMSL","SECT10854761","118808921","","",""
"390C","U1557","B","2","H","3","","97.1","8.071","12.531","63.34","2020-11-02 05:31:55","MS3-V0.0.0.0-0656","WRMSL","SECT10854761","118808921","","",""
"390C","U1557","B","2","H","3","","99.6","8.096","12.556","60.70","2020-11-02 05:31:55","MS3-V0.0.0.0-0656","WRMSL","SECT10854761","118808921","","",""
"390C","U1557","B","2","H","3","","102.1","8.121","12.581","52.63","2020-11-02 05:31:55","MS3-V0.0.0.0-0656","WRMSL","SECT10854761","118808921","","",""
"390C","U1557","B","2","H","3","","104.6","8.146","12.606","45.58","2020-11-02 05:31:55","MS3-V0.0.0.0-0656","WRMSL","SECT10854761","118808921","","",""
"390C","U1557","B","2","H","3","","107.1","8.171","12.631","40.96","2020-11-02 05:31:55","MS3-V0.0.0.0-0656","WRMSL","SECT10854761","118808921","","",""
"390C","U1557","B","2","H","3","","109.6","8.196","12.656","39.68","2020-11-02 05:31:55","MS3-V0.0.0.0-0656","WRMSL","SECT10854761","118808921","","",""
"390C","U1557","B","2","H","3","","112.1","8.221","12.681","39.68","2020-11-02 05:31:55","MS3-V0.0.0.0-0656","WRMSL","SECT10854761","118808921","","",""
"390C","U1557","B","2","H","3","","114.6","8.246","12.706","38.88","2020-11-02 05:31:55","MS3-V0.0.0.0-0656","WRMSL","SECT10854761","118808921","","",""
"390C","U1557","B","2","H","3","","117.1","8.271","12.731","38.13","2020-11-02 05:31:55","MS3-V0.0.0.0-0656","WRMSL","SECT10854761","118808921","","",""
"390C","U1557","B","2","H","3","","119.6","8.296","12.756","35.75","2020-11-02 05:31:55","MS3-V0.0.0.0-0656","WRMSL","SECT10854761","118808921","","",""
"390C","U1557","B","2","H","3","","122.1","8.321","12.781","33.34","2020-11-02 05:31:55","MS3-V0.0.0.0-0656","WRMSL","SECT10854761","118808921","","",""
"390C","U1557","B","2","H","3","","124.6","8.346","12.806","31.60","2020-11-02 05:31:55","MS3-V0.0.0.0-0656","WRMSL","SECT10854761","118808921","","",""
"390C","U1557","B","2","H","3","","127.1","8.371","12.831","30.64","2020-11-02 05:31:55","MS3-V0.0.0.0-0656","WRMSL","SECT10854761","118808921","","",""
"390C","U1557","B","2","H","3","","129.6","8.396","12.856","29.41","2020-11-02 05:31:55","MS3-V0.0.0.0-0656","WRMSL","SECT10854761","118808921","","",""
"390C","U1557","B","2","H","3","","132.1","8.421","12.881","29.41","2020-11-02 05:31:55","MS3-V0.0.0.0-0656","WRMSL","SECT10854761","118808921","","",""
"390C","U1557","B","2","H","3","","134.6","8.446","12.906","31.74","2020-11-02 05:31:55","MS3-V0.0.0.0-0656","WRMSL","SECT10854761","118808921","","",""
"390C","U1557","B","2","H","3","","137.1","8.471","12.931","35.09","2020-11-02 05:31:55","MS3-V0.0.0.0-0656","WRMSL","SECT10854761","118808921","","",""
"390C","U1557","B","2","H","3","","139.6","8.496","12.956","33.21","2020-11-02 05:31:55","MS3-V0.0.0.0-0656","WRMSL","SECT10854761","118808921","","",""
"390C","U1557","B","2","H","4","","5.2","8.652","13.112","27.59","2020-11-02 05:39:20","MS3-V0.0.0.0-0656","WRMSL","SECT10854791","118808951","","",""
"390C","U1557","B","2","H","4","","7.7","8.677","13.137","29.80","2020-11-02 05:39:20","MS3-V0.0.0.0-0656","WRMSL","SECT10854791","118808951","","",""
"390C","U1557","B","2","H","4","","10.2","8.702","13.162","30.62","2020-11-02 05:39:20","MS3-V0.0.0.0-0656","WRMSL","SECT10854791","118808951","","",""
"390C","U1557","B","2","H","4","","12.7","8.727","13.187","29.20","2020-11-02 05:39:20","MS3-V0.0.0.0-0656","WRMSL","SECT10854791","118808951","","",""
"390C","U1557","B","2","H","4","","15.2","8.752","13.212","28.19","2020-11-02 05:39:20","MS3-V0.0.0.0-0656","WRMSL","SECT10854791","118808951","","",""
"390C","U1557","B","2","H","4","","17.7","8.777","13.237","28.04","2020-11-02 05:39:20","MS3-V0.0.0.0-0656","WRMSL","SECT10854791","118808951","","",""
"390C","U1557","B","2","H","4","","20.2","8.802","13.262","28.09","2020-11-02 05:39:20","MS3-V0.0.0.0-0656","WRMSL","SECT10854791","118808951","","",""
"390C","U1557","B","2","H","4","","22.7","8.827","13.287","28.08","2020-11-02 05:39:20","MS3-V0.0.0.0-0656","WRMSL","SECT10854791","118808951","","",""
"390C","U1557","B","2","H","4","","25.2","8.852","13.312","28.45","2020-11-02 05:39:20","MS3-V0.0.0.0-0656","WRMSL","SECT10854791","118808951","","",""
"390C","U1557","B","2","H","4","","27.7","8.877","13.337","28.77","2020-11-02 05:39:20","MS3-V0.0.0.0-0656","WRMSL","SECT10854791","118808951","","",""
"390C","U1557","B","2","H","4","","30.2","8.902","13.362","29.65","2020-11-02 05:39:20","MS3-V0.0.0.0-0656","WRMSL","SECT10854791","118808951","","",""
"390C","U1557","B","2","H","4","","32.7","8.927","13.387","31.83","2020-11-02 05:39:20","MS3-V0.0.0.0-0656","WRMSL","SECT10854791","118808951","","",""
"390C","U1557","B","2","H","4","","35.2","8.952","13.412","33.41","2020-11-02 05:39:20","MS3-V0.0.0.0-0656","WRMSL","SECT10854791","118808951","","",""
"390C","U1557","B","2","H","4","","37.7","8.977","13.437","32.10","2020-11-02 05:39:20","MS3-V0.0.0.0-0656","WRMSL","SECT10854791","118808951","","",""
"390C","U1557","B","2","H","4","","40.2","9.002","13.462","30.51","2020-11-02 05:39:20","MS3-V0.0.0.0-0656","WRMSL","SECT10854791","118808951","","",""
"390C","U1557","B","2","H","4","","42.7","9.027","13.487","29.69","2020-11-02 05:39:20","MS3-V0.0.0.0-0656","WRMSL","SECT10854791","118808951","","",""
"390C","U1557","B","2","H","4","","45.2","9.052","13.512","29.50","2020-11-02 05:39:20","MS3-V0.0.0.0-0656","WRMSL","SECT10854791","118808951","","",""
"390C","U1557","B","2","H","4","","47.7","9.077","13.537","29.20","2020-11-02 05:39:20","MS3-V0.0.0.0-0656","WRMSL","SECT10854791","118808951","","",""
"390C","U1557","B","2","H","4","","50.2","9.102","13.562","30.35","2020-11-02 05:39:20","MS3-V0.0.0.0-0656","WRMSL","SECT10854791","118808951","","",""
"390C","U1557","B","2","H","4","","52.7","9.127","13.587","31.51","2020-11-02 05:39:20","MS3-V0.0.0.0-0656","WRMSL","SECT10854791","118808951","","",""
"390C","U1557","B","2","H","4","","55.2","9.152","13.612","31.05","2020-11-02 05:39:20","MS3-V0.0.0.0-0656","WRMSL","SECT10854791","118808951","","",""
"390C","U1557","B","2","H","4","","57.7","9.177","13.637","30.40","2020-11-02 05:39:20","MS3-V0.0.0.0-0656","WRMSL","SECT10854791","118808951","","",""
"390C","U1557","B","2","H","4","","60.2","9.202","13.662","30.70","2020-11-02 05:39:20","MS3-V0.0.0.0-0656","WRMSL","SECT10854791","118808951","","",""
"390C","U1557","B","2","H","4","","62.7","9.227","13.687","31.52","2020-11-02 05:39:20","MS3-V0.0.0.0-0656","WRMSL","SECT10854791","118808951","","",""
"390C","U1557","B","2","H","4","","65.2","9.252","13.712","32.63","2020-11-02 05:39:20","MS3-V0.0.0.0-0656","WRMSL","SECT10854791","118808951","","",""
"390C","U1557","B","2","H","4","","67.7","9.277","13.737","32.36","2020-11-02 05:39:20","MS3-V0.0.0.0-0656","WRMSL","SECT10854791","118808951","","",""
"390C","U1557","B","2","H","4","","70.2","9.302","13.762","31.95","2020-11-02 05:39:20","MS3-V0.0.0.0-0656","WRMSL","SECT10854791","118808951","","",""
"390C","U1557","B","2","H","4","","72.7","9.327","13.787","31.38","2020-11-02 05:39:20","MS3-V0.0.0.0-0656","WRMSL","SECT10854791","118808951","","",""
"390C","U1557","B","2","H","4","","75.2","9.352","13.812","31.07","2020-11-02 05:39:20","MS3-V0.0.0.0-0656","WRMSL","SECT10854791","118808951","","",""
"390C","U1557","B","2","H","4","","77.7","9.377","13.837","30.79","2020-11-02 05:39:20","MS3-V0.0.0.0-0656","WRMSL","SECT10854791","118808951","","",""
"390C","U1557","B","2","H","4","","80.2","9.402","13.862","31.43","2020-11-02 05:39:20","MS3-V0.0.0.0-0656","WRMSL","SECT10854791","118808951","","",""
"390C","U1557","B","2","H","4","","82.7","9.427","13.887","31.57","2020-11-02 05:39:20","MS3-V0.0.0.0-0656","WRMSL","SECT10854791","118808951","","",""
"390C","U1557","B","2","H","4","","85.2","9.452","13.912","31.84","2020-11-02 05:39:20","MS3-V0.0.0.0-0656","WRMSL","SECT10854791","118808951","","",""
"390C","U1557","B","2","H","4","","87.7","9.477","13.937","31.08","2020-11-02 05:39:20","MS3-V0.0.0.0-0656","WRMSL","SECT10854791","118808951","","",""
"390C","U1557","B","2","H","4","","90.2","9.502","13.962","29.65","2020-11-02 05:39:20","MS3-V0.0.0.0-0656","WRMSL","SECT10854791","118808951","","",""
"390C","U1557","B","2","H","4","","92.7","9.527","13.987","28.97","2020-11-02 05:39:20","MS3-V0.0.0.0-0656","WRMSL","SECT10854791","118808951","","",""
"390C","U1557","B","2","H","4","","95.2","9.552","14.012","27.40","2020-11-02 05:39:20","MS3-V0.0.0.0-0656","WRMSL","SECT10854791","118808951","","",""
"390C","U1557","B","2","H","5","","5.0","9.650","14.110","28.69","2020-11-02 05:52:10","MS3-V0.0.0.0-0656","WRMSL","SECT10854821","118809001","","",""
"390C","U1557","B","2","H","5","","7.5","9.675","14.135","29.47","2020-11-02 05:52:10","MS3-V0.0.0.0-0656","WRMSL","SECT10854821","118809001","","",""
"390C","U1557","B","2","H","5","","10.0","9.700","14.160","30.48","2020-11-02 05:52:10","MS3-V0.0.0.0-0656","WRMSL","SECT10854821","118809001","","",""
"390C","U1557","B","2","H","5","","12.5","9.725","14.185","30.05","2020-11-02 05:52:10","MS3-V0.0.0.0-0656","WRMSL","SECT10854821","118809001","","",""
"390C","U1557","B","2","H","5","","15.0","9.750","14.210","29.35","2020-11-02 05:52:10","MS3-V0.0.0.0-0656","WRMSL","SECT10854821","118809001","","",""
"390C","U1557","B","2","H","5","","17.5","9.775","14.235","29.56","2020-11-02 05:52:10","MS3-V0.0.0.0-0656","WRMSL","SECT10854821","118809001","","",""
"390C","U1557","B","2","H","5","","20.0","9.800","14.260","29.60","2020-11-02 05:52:10","MS3-V0.0.0.0-0656","WRMSL","SECT10854821","118809001","","",""
"390C","U1557","B","2","H","5","","22.5","9.825","14.285","28.26","2020-11-02 05:52:10","MS3-V0.0.0.0-0656","WRMSL","SECT10854821","118809001","","",""
"390C","U1557","B","2","H","5","","25.0","9.850","14.310","27.56","2020-11-02 05:52:10","MS3-V0.0.0.0-0656","WRMSL","SECT10854821","118809001","","",""
"390C","U1557","B","2","H","5","","27.5","9.875","14.335","27.26","2020-11-02 05:52:10","MS3-V0.0.0.0-0656","WRMSL","SECT10854821","118809001","","",""
"390C","U1557","B","2","H","5","","30.0","9.900","14.360","26.96","2020-11-02 05:52:10","MS3-V0.0.0.0-0656","WRMSL","SECT10854821","118809001","","",""
"390C","U1557","B","2","H","5","","30.0","9.900","14.360","26.97","2020-11-02 05:52:10","MS3-V0.0.0.0-0656","WRMSL","SECT10854821","118809001","","",""
"390C","U1557","B","2","H","5","","32.5","9.925","14.385","27.04","2020-11-02 05:52:10","MS3-V0.0.0.0-0656","WRMSL","SECT10854821","118809001","","",""
"390C","U1557","B","2","H","5","","35.0","9.950","14.410","26.75","2020-11-02 05:52:10","MS3-V0.0.0.0-0656","WRMSL","SECT10854821","118809001","","",""
"390C","U1557","B","2","H","5","","37.5","9.975","14.435","26.62","2020-11-02 05:52:10","MS3-V0.0.0.0-0656","WRMSL","SECT10854821","118809001","","",""
